SEASON_ID,TEAM_ID_A,TEAM_ABBREVIATION_A,TEAM_NAME_A,GAME_ID,GAME_DATE,MATCHUP,WL_A,MIN_A,FGM_A,FGA_A,FG_PCT_A,FG3M_A,FG3A_A,FG3_PCT_A,FTM_A,FTA_A,FT_PCT_A,OREB_A,DREB_A,REB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,PLUS_MINUS_A,TEAM_ID_B,TEAM_ABBREVIATION_B,TEAM_NAME_B,WL_B,MIN_B,FGM_B,FGA_B,FG_PCT_B,FG3M_B,FG3A_B,FG3_PCT_B,FTM_B,FTA_B,FT_PCT_B,OREB_B,DREB_B,REB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,PLUS_MINUS_B
21997.0,1611661319.0,UTA,Utah Starzz,1029700013,1997-06-28,UTA vs. HOU,L,0.0,24.0,61.0,0.393,1.0,9.0,0.111,9.0,13.0,0.692,8.0,19.0,27.0,18.0,11.0,4.0,0.0,22.0,58.0,-18.0,1611661316.0,HOU,Houston Comets,W,0.0,24.0,62.0,0.387,6.0,15.0,0.4,22.0,28.0,0.786,15.0,21.0,36.0,9.0,10.0,3.0,0.0,18.0,76.0,18.0
21997.0,1611661315.0,CLE,Cleveland Rockers,1029700014,1997-06-28,CLE vs. PHO,L,0.0,27.0,61.0,0.443,2.0,8.0,0.25,7.0,11.0,0.636,5.0,18.0,23.0,21.0,10.0,5.0,0.0,22.0,63.0,-5.0,1611661317.0,PHO,Phoenix Mercury,W,0.0,23.0,55.0,0.418,5.0,11.0,0.455,17.0,24.0,0.708,6.0,24.0,30.0,13.0,12.0,2.0,0.0,19.0,68.0,5.0
21997.0,1611661313.0,NYL,New York Liberty,1029700015,1997-06-29,NYL vs. PHO,W,0.0,23.0,58.0,0.397,2.0,12.0,0.167,17.0,27.0,0.63,11.0,24.0,35.0,14.0,8.0,3.0,0.0,22.0,65.0,8.0,1611661317.0,PHO,Phoenix Mercury,L,0.0,20.0,71.0,0.282,6.0,19.0,0.316,11.0,15.0,0.733,21.0,22.0,43.0,9.0,5.0,1.0,0.0,24.0,57.0,-8.0
21997.0,1611661314.0,CHA,Charlotte Sting,1029700016,1997-06-29,CHA vs. CLE,W,0.0,27.0,65.0,0.415,5.0,10.0,0.5,8.0,12.0,0.667,6.0,28.0,34.0,25.0,10.0,5.0,0.0,17.0,67.0,23.0,1611661315.0,CLE,Cleveland Rockers,L,0.0,16.0,56.0,0.286,2.0,10.0,0.2,10.0,14.0,0.714,6.0,23.0,29.0,10.0,7.0,4.0,0.0,16.0,44.0,-23.0
21997.0,1611661316.0,HOU,Houston Comets,1029700017,1997-06-30,HOU vs. LAS,W,0.0,22.0,59.0,0.373,1.0,9.0,0.111,26.0,35.0,0.743,13.0,26.0,39.0,16.0,11.0,2.0,0.0,24.0,71.0,5.0,1611661320.0,LAS,Los Angeles Sparks,L,0.0,23.0,67.0,0.343,3.0,11.0,0.273,17.0,24.0,0.708,14.0,21.0,35.0,14.0,11.0,6.0,0.0,30.0,66.0,-5.0
21997.0,1611661318.0,SAC,Sacramento Monarchs,1029700018,1997-07-02,SAC vs. UTA,L,0.0,30.0,76.0,0.395,4.0,19.0,0.211,4.0,6.0,0.667,10.0,21.0,31.0,20.0,11.0,4.0,0.0,17.0,68.0,-5.0,1611661319.0,UTA,Utah Starzz,W,0.0,30.0,71.0,0.423,2.0,6.0,0.333,11.0,17.0,0.647,18.0,29.0,47.0,18.0,12.0,4.0,0.0,13.0,73.0,5.0
21997.0,1611661313.0,NYL,New York Liberty,1029700019,1997-07-02,NYL vs. HOU,W,0.0,26.0,63.0,0.413,2.0,9.0,0.222,18.0,26.0,0.692,13.0,18.0,31.0,13.0,6.0,2.0,0.0,19.0,70.0,3.0,1611661316.0,HOU,Houston Comets,L,0.0,25.0,56.0,0.446,7.0,16.0,0.438,10.0,14.0,0.714,11.0,17.0,28.0,15.0,5.0,0.0,0.0,22.0,67.0,-3.0
21997.0,1611661315.0,CLE,Cleveland Rockers,1029700020,1997-07-03,CLE vs. LAS,L,0.0,24.0,56.0,0.429,0.0,7.0,0.0,14.0,18.0,0.778,8.0,19.0,27.0,9.0,14.0,0.0,0.0,24.0,62.0,-12.0,1611661320.0,LAS,Los Angeles Sparks,W,0.0,27.0,56.0,0.482,3.0,10.0,0.3,17.0,29.0,0.586,11.0,17.0,28.0,17.0,20.0,3.0,0.0,24.0,74.0,12.0
21997.0,1611661319.0,UTA,Utah Starzz,1029700021,1997-07-03,UTA vs. PHO,L,0.0,20.0,63.0,0.317,3.0,15.0,0.2,12.0,26.0,0.462,15.0,20.0,35.0,10.0,6.0,10.0,0.0,15.0,55.0,-22.0,1611661317.0,PHO,Phoenix Mercury,W,0.0,30.0,71.0,0.423,7.0,16.0,0.438,10.0,11.0,0.909,14.0,23.0,37.0,25.0,17.0,6.0,0.0,25.0,77.0,22.0
21997.0,1611661316.0,HOU,Houston Comets,1029700022,1997-07-04,HOU vs. NYL,L,0.0,22.0,59.0,0.373,7.0,19.0,0.368,7.0,13.0,0.538,14.0,16.0,30.0,16.0,8.0,5.0,0.0,18.0,58.0,-7.0,1611661313.0,NYL,New York Liberty,W,0.0,25.0,58.0,0.431,5.0,15.0,0.333,10.0,18.0,0.556,10.0,19.0,29.0,13.0,13.0,8.0,0.0,14.0,65.0,7.0
