GAME_ID,GAME_DATE,MATCHUP,TEAM_1_NAME,TEAM_1_ID,TEAM_2_NAME,TEAM_2_ID,TEAM_1_WIN/LOSS,TEAM_1_HOME/AWAY,TEAM_1_PTS,TEAM_1_FGA,TEAM_1_FG_PCT,TEAM_1_OREB,TEAM_1_DREB,TEAM_1_AST,TEAM_1_TOV,TEAM_1_WIN_PCT,TEAM_2_HOME/AWAY,TEAM_2_PTS,TEAM_2_FGA,TEAM_2_FG_PCT,TEAM_2_OREB,TEAM_2_DREB,TEAM_2_AST,TEAM_2_TOV,TEAM_2_WIN_PCT
0021500001,2015-10-27,DET @ ATL,Detroit Pistons,1610612765,Atlanta Hawks,1610612737,W,0,8361,7087,0.439,1021,2777,1594,1110,0.537,1,8433,6923,0.458,679,2772,2100,1226,0.585
0021500002,2015-10-27,CLE @ CHI,Cleveland Cavaliers,1610612739,Chicago Bulls,1610612741,L,0,8555,6888,0.46,873,2777,1861,1114,0.695,1,8335,7170,0.441,907,2889,1870,1141,0.512
0021500003,2015-10-27,GSW vs. NOP,Golden State Warriors,1610612744,New Orleans Pelicans,1610612740,W,1,9421,7159,0.487,816,2972,2373,1245,0.89,0,8423,7040,0.448,782,2712,1818,1102,0.366
0021500004,2015-10-28,ORL vs. WAS,Orlando Magic,1610612753,Washington Wizards,1610612764,L,1,8369,7120,0.455,843,2709,1933,1155,0.427,0,8534,7033,0.46,743,2688,2005,1186,0.5
0021500005,2015-10-28,PHI @ BOS,Philadelphia 76ers,1610612755,Boston Celtics,1610612738,L,0,7988,6887,0.431,777,2605,1765,1343,0.122,1,8669,7318,0.439,950,2733,1981,1127,0.585
0021500006,2015-10-28,CHI @ BKN,Chicago Bulls,1610612741,Brooklyn Nets,1610612751,W,0,8335,7170,0.441,907,2889,1870,1141,0.512,1,8089,6920,0.453,863,2614,1829,1212,0.256
0021500007,2015-10-28,DET vs. UTA,Detroit Pistons,1610612765,Utah Jazz,1610612762,W,1,8361,7087,0.439,1021,2777,1594,1110,0.537,0,8010,6593,0.449,880,2665,1554,1224,0.488
0021500008,2015-10-28,MIA vs. CHA,Miami Heat,1610612748,Charlotte Hornets,1610612766,W,1,8204,6697,0.47,807,2811,1709,1155,0.585,0,8479,6922,0.439,734,2869,1778,1029,0.585
0021500009,2015-10-28,IND @ TOR,Indiana Pacers,1610612754,Toronto Raptors,1610612761,L,0,8377,6985,0.45,847,2779,1741,1219,0.549,1,8422,6669,0.451,836,2724,1536,1073,0.683
0021500010,2015-10-28,DEN @ HOU,Denver Nuggets,1610612743,Houston Rockets,1610612745,W,0,8355,7003,0.442,941,2718,1858,1202,0.402,1,8737,6847,0.452,930,2601,1821,1307,0.5
0021500011,2015-10-28,MEM vs. CLE,Memphis Grizzlies,1610612763,Cleveland Cavaliers,1610612739,L,1,8126,6859,0.44,916,2497,1697,1090,0.512,0,8555,6888,0.46,873,2777,1861,1114,0.695
0021500012,2015-10-28,MIL vs. NYK,Milwaukee Bucks,1610612749,New York Knicks,1610612752,L,1,8122,6740,0.467,858,2559,1895,1247,0.402,0,8065,6886,0.439,850,2788,1682,1099,0.39
0021500013,2015-10-28,SAS @ OKC,San Antonio Spurs,1610612759,Oklahoma City Thunder,1610612760,L,0,8490,6797,0.484,770,2831,2010,1071,0.817,1,9038,7082,0.476,1071,2916,1883,1305,0.671
0021500014,2015-10-28,DAL @ PHX,Dallas Mavericks,1610612742,Phoenix Suns,1610612756,W,0,8388,6900,0.444,751,2781,1813,1047,0.512,1,8271,7018,0.435,943,2733,1701,1410,0.28
0021500015,2015-10-28,POR vs. NOP,Portland Trail Blazers,1610612757,New Orleans Pelicans,1610612740,W,1,8622,7040,0.45,948,2782,1748,1200,0.537,0,8423,7040,0.448,782,2712,1818,1102,0.366
0021500016,2015-10-28,LAC @ SAC,LA Clippers,1610612746,Sacramento Kings,1610612758,W,0,8569,6759,0.465,721,2727,1873,1063,0.646,1,8740,7083,0.464,868,2760,2009,1326,0.402
0021500017,2015-10-28,MIN @ LAL,Minnesota Timberwolves,1610612750,Los Angeles Lakers,1610612747,W,0,8398,6668,0.464,821,2587,1916,1231,0.354,1,7982,6956,0.414,878,2645,1478,1124,0.207
0021500018,2015-10-29,MEM @ IND,Memphis Grizzlies,1610612763,Indiana Pacers,1610612754,W,0,8126,6859,0.44,916,2497,1697,1090,0.512,1,8377,6985,0.45,847,2779,1741,1219,0.549
0021500019,2015-10-29,ATL @ NYK,Atlanta Hawks,1610612737,New York Knicks,1610612752,W,0,8433,6923,0.458,679,2772,2100,1226,0.585,1,8065,6886,0.439,850,2788,1682,1099,0.39
0021500020,2015-10-29,LAC vs. DAL,LA Clippers,1610612746,Dallas Mavericks,1610612742,W,1,8569,6759,0.465,721,2727,1873,1063,0.646,0,8388,6900,0.444,751,2781,1813,1047,0.512
0021500021,2015-10-30,MIA @ CLE,Miami Heat,1610612748,Cleveland Cavaliers,1610612739,L,0,8204,6697,0.47,807,2811,1709,1155,0.585,1,8555,6888,0.46,873,2777,1861,1114,0.695
0021500022,2015-10-30,ORL vs. OKC,Orlando Magic,1610612753,Oklahoma City Thunder,1610612760,L,1,8369,7120,0.455,843,2709,1933,1155,0.427,0,9038,7082,0.476,1071,2916,1883,1305,0.671
0021500023,2015-10-30,PHI vs. UTA,Philadelphia 76ers,1610612755,Utah Jazz,1610612762,L,1,7988,6887,0.431,777,2605,1765,1343,0.122,0,8010,6593,0.449,880,2665,1554,1224,0.488
0021500024,2015-10-30,TOR @ BOS,Toronto Raptors,1610612761,Boston Celtics,1610612738,W,0,8422,6669,0.451,836,2724,1536,1073,0.683,1,8669,7318,0.439,950,2733,1981,1127,0.585
0021500025,2015-10-30,CHI @ DET,Chicago Bulls,1610612741,Detroit Pistons,1610612765,L,0,8335,7170,0.441,907,2889,1870,1141,0.512,1,8361,7087,0.439,1021,2777,1594,1110,0.537
0021500026,2015-10-30,CHA @ ATL,Charlotte Hornets,1610612766,Atlanta Hawks,1610612737,L,0,8479,6922,0.439,734,2869,1778,1029,0.585,1,8433,6923,0.458,679,2772,2100,1226,0.585
0021500027,2015-10-30,WAS @ MIL,Washington Wizards,1610612764,Milwaukee Bucks,1610612749,W,0,8534,7033,0.46,743,2688,2005,1186,0.5,1,8122,6740,0.467,858,2559,1895,1247,0.402
0021500028,2015-10-30,SAS vs. BKN,San Antonio Spurs,1610612759,Brooklyn Nets,1610612751,W,1,8490,6797,0.484,770,2831,2010,1071,0.817,0,8089,6920,0.453,863,2614,1829,1212,0.256
0021500029,2015-10-30,MIN @ DEN,Minnesota Timberwolves,1610612750,Denver Nuggets,1610612743,W,0,8398,6668,0.464,821,2587,1916,1231,0.354,1,8355,7003,0.442,941,2718,1858,1202,0.402
0021500030,2015-10-30,HOU vs. GSW,Houston Rockets,1610612745,Golden State Warriors,1610612744,L,1,8737,6847,0.452,930,2601,1821,1307,0.5,0,9421,7159,0.487,816,2972,2373,1245,0.89
0021500031,2015-10-30,SAC vs. LAL,Sacramento Kings,1610612758,Los Angeles Lakers,1610612747,W,1,8740,7083,0.464,868,2760,2009,1326,0.402,0,7982,6956,0.414,878,2645,1478,1124,0.207
0021500032,2015-10-30,POR @ PHX,Portland Trail Blazers,1610612757,Phoenix Suns,1610612756,L,0,8622,7040,0.45,948,2782,1748,1200,0.537,1,8271,7018,0.435,943,2733,1701,1410,0.28
0021500033,2015-10-31,IND vs. UTA,Indiana Pacers,1610612754,Utah Jazz,1610612762,L,1,8377,6985,0.45,847,2779,1741,1219,0.549,0,8010,6593,0.449,880,2665,1554,1224,0.488
0021500034,2015-10-31,NYK @ WAS,New York Knicks,1610612752,Washington Wizards,1610612764,W,0,8065,6886,0.439,850,2788,1682,1099,0.39,1,8534,7033,0.46,743,2688,2005,1186,0.5
0021500035,2015-10-31,GSW @ NOP,Golden State Warriors,1610612744,New Orleans Pelicans,1610612740,W,0,9421,7159,0.487,816,2972,2373,1245,0.89,1,8423,7040,0.448,782,2712,1818,1102,0.366
0021500036,2015-10-31,MEM vs. BKN,Memphis Grizzlies,1610612763,Brooklyn Nets,1610612751,W,1,8126,6859,0.44,916,2497,1697,1090,0.512,0,8089,6920,0.453,863,2614,1829,1212,0.256
0021500037,2015-10-31,PHX @ POR,Phoenix Suns,1610612756,Portland Trail Blazers,1610612757,W,0,8271,7018,0.435,943,2733,1701,1410,0.28,1,8622,7040,0.45,948,2782,1748,1200,0.537
0021500038,2015-10-31,SAC @ LAC,Sacramento Kings,1610612758,LA Clippers,1610612746,L,0,8740,7083,0.464,868,2760,2009,1326,0.402,1,8569,6759,0.465,721,2727,1873,1063,0.646
0021500039,2015-11-01,CHA vs. ATL,Charlotte Hornets,1610612766,Atlanta Hawks,1610612737,L,1,8479,6922,0.439,734,2869,1778,1029,0.585,0,8433,6923,0.458,679,2772,2100,1226,0.585
0021500040,2015-11-01,SAS @ BOS,San Antonio Spurs,1610612759,Boston Celtics,1610612738,W,0,8490,6797,0.484,770,2831,2010,1071,0.817,1,8669,7318,0.439,950,2733,1981,1127,0.585
0021500041,2015-11-01,MIA vs. HOU,Miami Heat,1610612748,Houston Rockets,1610612745,W,1,8204,6697,0.47,807,2811,1709,1155,0.585,0,8737,6847,0.452,930,2601,1821,1307,0.5
0021500042,2015-11-01,MIL @ TOR,Milwaukee Bucks,1610612749,Toronto Raptors,1610612761,L,0,8122,6740,0.467,858,2559,1895,1247,0.402,1,8422,6669,0.451,836,2724,1536,1073,0.683
0021500043,2015-11-01,ORL @ CHI,Orlando Magic,1610612753,Chicago Bulls,1610612741,L,0,8369,7120,0.455,843,2709,1933,1155,0.427,1,8335,7170,0.441,907,2889,1870,1141,0.512
0021500044,2015-11-01,OKC vs. DEN,Oklahoma City Thunder,1610612760,Denver Nuggets,1610612743,W,1,9038,7082,0.476,1071,2916,1883,1305,0.671,0,8355,7003,0.442,941,2718,1858,1202,0.402
0021500045,2015-11-01,LAL vs. DAL,Los Angeles Lakers,1610612747,Dallas Mavericks,1610612742,L,1,7982,6956,0.414,878,2645,1478,1124,0.207,0,8388,6900,0.444,751,2781,1813,1047,0.512
0021500046,2015-11-02,PHI vs. CLE,Philadelphia 76ers,1610612755,Cleveland Cavaliers,1610612739,L,1,7988,6887,0.431,777,2605,1765,1343,0.122,0,8555,6888,0.46,873,2777,1861,1114,0.695
0021500047,2015-11-02,BKN vs. MIL,Brooklyn Nets,1610612751,Milwaukee Bucks,1610612749,L,1,8089,6920,0.453,863,2614,1829,1212,0.256,0,8122,6740,0.467,858,2559,1895,1247,0.402
0021500048,2015-11-02,NYK vs. SAS,New York Knicks,1610612752,San Antonio Spurs,1610612759,L,1,8065,6886,0.439,850,2788,1682,1099,0.39,0,8490,6797,0.484,770,2831,2010,1071,0.817
0021500049,2015-11-02,HOU vs. OKC,Houston Rockets,1610612745,Oklahoma City Thunder,1610612760,W,1,8737,6847,0.452,930,2601,1821,1307,0.5,0,9038,7082,0.476,1071,2916,1883,1305,0.671
0021500050,2015-11-02,MIN vs. POR,Minnesota Timberwolves,1610612750,Portland Trail Blazers,1610612757,L,1,8398,6668,0.464,821,2587,1916,1231,0.354,0,8622,7040,0.45,948,2782,1748,1200,0.537
0021500051,2015-11-02,MEM @ GSW,Memphis Grizzlies,1610612763,Golden State Warriors,1610612744,L,0,8126,6859,0.44,916,2497,1697,1090,0.512,1,9421,7159,0.487,816,2972,2373,1245,0.89
0021500052,2015-11-02,PHX @ LAC,Phoenix Suns,1610612756,LA Clippers,1610612746,L,0,8271,7018,0.435,943,2733,1701,1410,0.28,1,8569,6759,0.465,721,2727,1873,1063,0.646
0021500053,2015-11-03,CHA vs. CHI,Charlotte Hornets,1610612766,Chicago Bulls,1610612741,W,1,8479,6922,0.439,734,2869,1778,1029,0.585,0,8335,7170,0.441,907,2889,1870,1141,0.512
0021500054,2015-11-03,DET vs. IND,Detroit Pistons,1610612765,Indiana Pacers,1610612754,L,1,8361,7087,0.439,1021,2777,1594,1110,0.537,0,8377,6985,0.45,847,2779,1741,1219,0.549
0021500055,2015-11-03,ATL @ MIA,Atlanta Hawks,1610612737,Miami Heat,1610612748,W,0,8433,6923,0.458,679,2772,2100,1226,0.585,1,8204,6697,0.47,807,2811,1709,1155,0.585
0021500056,2015-11-03,NOP vs. ORL,New Orleans Pelicans,1610612740,Orlando Magic,1610612753,L,1,8423,7040,0.448,782,2712,1818,1102,0.366,0,8369,7120,0.455,843,2709,1933,1155,0.427
0021500057,2015-11-03,DAL vs. TOR,Dallas Mavericks,1610612742,Toronto Raptors,1610612761,L,1,8388,6900,0.444,751,2781,1813,1047,0.512,0,8422,6669,0.451,836,2724,1536,1073,0.683
0021500058,2015-11-03,MEM @ SAC,Memphis Grizzlies,1610612763,Sacramento Kings,1610612758,W,0,8126,6859,0.44,916,2497,1697,1090,0.512,1,8740,7083,0.464,868,2760,2009,1326,0.402
0021500059,2015-11-03,DEN @ LAL,Denver Nuggets,1610612743,Los Angeles Lakers,1610612747,W,0,8355,7003,0.442,941,2718,1858,1202,0.402,1,7982,6956,0.414,878,2645,1478,1124,0.207
0021500060,2015-11-04,BOS @ IND,Boston Celtics,1610612738,Indiana Pacers,1610612754,L,0,8669,7318,0.439,950,2733,1981,1127,0.585,1,8377,6985,0.45,847,2779,1741,1219,0.549
0021500061,2015-11-04,WAS vs. SAS,Washington Wizards,1610612764,San Antonio Spurs,1610612759,W,1,8534,7033,0.46,743,2688,2005,1186,0.5,0,8490,6797,0.484,770,2831,2010,1071,0.817
0021500062,2015-11-04,ATL vs. BKN,Atlanta Hawks,1610612737,Brooklyn Nets,1610612751,W,1,8433,6923,0.458,679,2772,2100,1226,0.585,0,8089,6920,0.453,863,2614,1829,1212,0.256
0021500063,2015-11-04,CLE vs. NYK,Cleveland Cavaliers,1610612739,New York Knicks,1610612752,W,1,8555,6888,0.46,873,2777,1861,1114,0.695,0,8065,6886,0.439,850,2788,1682,1099,0.39
0021500064,2015-11-04,HOU vs. ORL,Houston Rockets,1610612745,Orlando Magic,1610612753,W,1,8737,6847,0.452,930,2601,1821,1307,0.5,0,8369,7120,0.455,843,2709,1933,1155,0.427
0021500065,2015-11-04,MIL vs. PHI,Milwaukee Bucks,1610612749,Philadelphia 76ers,1610612755,W,1,8122,6740,0.467,858,2559,1895,1247,0.402,0,7988,6887,0.431,777,2605,1765,1343,0.122
0021500066,2015-11-04,TOR @ OKC,Toronto Raptors,1610612761,Oklahoma City Thunder,1610612760,W,0,8422,6669,0.451,836,2724,1536,1073,0.683,1,9038,7082,0.476,1071,2916,1883,1305,0.671
0021500067,2015-11-04,PHX vs. SAC,Phoenix Suns,1610612756,Sacramento Kings,1610612758,W,1,8271,7018,0.435,943,2733,1701,1410,0.28,0,8740,7083,0.464,868,2760,2009,1326,0.402
0021500068,2015-11-04,UTA vs. POR,Utah Jazz,1610612762,Portland Trail Blazers,1610612757,L,1,8010,6593,0.449,880,2665,1554,1224,0.488,0,8622,7040,0.45,948,2782,1748,1200,0.537
0021500069,2015-11-04,GSW vs. LAC,Golden State Warriors,1610612744,LA Clippers,1610612746,W,1,9421,7159,0.487,816,2972,2373,1245,0.89,0,8569,6759,0.465,721,2727,1873,1063,0.646
0021500070,2015-11-05,OKC @ CHI,Oklahoma City Thunder,1610612760,Chicago Bulls,1610612741,L,0,9038,7082,0.476,1071,2916,1883,1305,0.671,1,8335,7170,0.441,907,2889,1870,1141,0.512
0021500071,2015-11-05,MIA @ MIN,Miami Heat,1610612748,Minnesota Timberwolves,1610612750,W,0,8204,6697,0.47,807,2811,1709,1155,0.585,1,8398,6668,0.464,821,2587,1916,1231,0.354
0021500072,2015-11-05,CHA @ DAL,Charlotte Hornets,1610612766,Dallas Mavericks,1610612742,W,0,8479,6922,0.439,734,2869,1778,1029,0.585,1,8388,6900,0.444,751,2781,1813,1047,0.512
0021500073,2015-11-05,UTA @ DEN,Utah Jazz,1610612762,Denver Nuggets,1610612743,W,0,8010,6593,0.449,880,2665,1554,1224,0.488,1,8355,7003,0.442,941,2718,1858,1202,0.402
0021500074,2015-11-05,POR vs. MEM,Portland Trail Blazers,1610612757,Memphis Grizzlies,1610612763,W,1,8622,7040,0.45,948,2782,1748,1200,0.537,0,8126,6859,0.44,916,2497,1697,1090,0.512
0021500075,2015-11-06,ORL vs. TOR,Orlando Magic,1610612753,Toronto Raptors,1610612761,W,1,8369,7120,0.455,843,2709,1933,1155,0.427,0,8422,6669,0.451,836,2724,1536,1073,0.683
0021500076,2015-11-06,WAS @ BOS,Washington Wizards,1610612764,Boston Celtics,1610612738,L,0,8534,7033,0.46,743,2688,2005,1186,0.5,1,8669,7318,0.439,950,2733,1981,1127,0.585
0021500077,2015-11-06,LAL @ BKN,Los Angeles Lakers,1610612747,Brooklyn Nets,1610612751,W,0,7982,6956,0.414,878,2645,1478,1124,0.207,1,8089,6920,0.453,863,2614,1829,1212,0.256
0021500078,2015-11-06,PHI @ CLE,Philadelphia 76ers,1610612755,Cleveland Cavaliers,1610612739,L,0,7988,6887,0.431,777,2605,1765,1343,0.122,1,8555,6888,0.46,873,2777,1861,1114,0.695
0021500079,2015-11-06,MIL @ NYK,Milwaukee Bucks,1610612749,New York Knicks,1610612752,W,0,8122,6740,0.467,858,2559,1895,1247,0.402,1,8065,6886,0.439,850,2788,1682,1099,0.39
0021500080,2015-11-06,IND vs. MIA,Indiana Pacers,1610612754,Miami Heat,1610612748,W,1,8377,6985,0.45,847,2779,1741,1219,0.549,0,8204,6697,0.47,807,2811,1709,1155,0.585
0021500081,2015-11-06,ATL @ NOP,Atlanta Hawks,1610612737,New Orleans Pelicans,1610612740,W,0,8433,6923,0.458,679,2772,2100,1226,0.585,1,8423,7040,0.448,782,2712,1818,1102,0.366
0021500082,2015-11-06,DET @ PHX,Detroit Pistons,1610612765,Phoenix Suns,1610612756,W,0,8361,7087,0.439,1021,2777,1594,1110,0.537,1,8271,7018,0.435,943,2733,1701,1410,0.28
0021500083,2015-11-06,GSW vs. DEN,Golden State Warriors,1610612744,Denver Nuggets,1610612743,W,1,9421,7159,0.487,816,2972,2373,1245,0.89,0,8355,7003,0.442,941,2718,1858,1202,0.402
0021500084,2015-11-06,HOU @ SAC,Houston Rockets,1610612745,Sacramento Kings,1610612758,W,0,8737,6847,0.452,930,2601,1821,1307,0.5,1,8740,7083,0.464,868,2760,2009,1326,0.402
0021500085,2015-11-07,CHI vs. MIN,Chicago Bulls,1610612741,Minnesota Timberwolves,1610612750,L,1,8335,7170,0.441,907,2889,1870,1141,0.512,0,8398,6668,0.464,821,2587,1916,1231,0.354
0021500086,2015-11-07,ATL vs. WAS,Atlanta Hawks,1610612737,Washington Wizards,1610612764,W,1,8433,6923,0.458,679,2772,2100,1226,0.585,0,8534,7033,0.46,743,2688,2005,1186,0.5
0021500087,2015-11-07,PHI vs. ORL,Philadelphia 76ers,1610612755,Orlando Magic,1610612753,L,1,7988,6887,0.431,777,2605,1765,1343,0.122,0,8369,7120,0.455,843,2709,1933,1155,0.427
0021500088,2015-11-07,NOP @ DAL,New Orleans Pelicans,1610612740,Dallas Mavericks,1610612742,L,0,8423,7040,0.448,782,2712,1818,1102,0.366,1,8388,6900,0.444,751,2781,1813,1047,0.512
0021500089,2015-11-07,MIL vs. BKN,Milwaukee Bucks,1610612749,Brooklyn Nets,1610612751,W,1,8122,6740,0.467,858,2559,1895,1247,0.402,0,8089,6920,0.453,863,2614,1829,1212,0.256
0021500090,2015-11-07,CHA @ SAS,Charlotte Hornets,1610612766,San Antonio Spurs,1610612759,L,0,8479,6922,0.439,734,2869,1778,1029,0.585,1,8490,6797,0.484,770,2831,2010,1071,0.817
0021500091,2015-11-07,UTA vs. MEM,Utah Jazz,1610612762,Memphis Grizzlies,1610612763,W,1,8010,6593,0.449,880,2665,1554,1224,0.488,0,8126,6859,0.44,916,2497,1697,1090,0.512
0021500092,2015-11-07,GSW @ SAC,Golden State Warriors,1610612744,Sacramento Kings,1610612758,W,0,9421,7159,0.487,816,2972,2373,1245,0.89,1,8740,7083,0.464,868,2760,2009,1326,0.402
0021500093,2015-11-07,LAC vs. HOU,LA Clippers,1610612746,Houston Rockets,1610612745,L,1,8569,6759,0.465,721,2727,1873,1063,0.646,0,8737,6847,0.452,930,2601,1821,1307,0.5
0021500094,2015-11-08,IND @ CLE,Indiana Pacers,1610612754,Cleveland Cavaliers,1610612739,L,0,8377,6985,0.45,847,2779,1741,1219,0.549,1,8555,6888,0.46,873,2777,1861,1114,0.695
0021500095,2015-11-08,LAL @ NYK,Los Angeles Lakers,1610612747,New York Knicks,1610612752,L,0,7982,6956,0.414,878,2645,1478,1124,0.207,1,8065,6886,0.439,850,2788,1682,1099,0.39
0021500096,2015-11-08,TOR @ MIA,Toronto Raptors,1610612761,Miami Heat,1610612748,L,0,8422,6669,0.451,836,2724,1536,1073,0.683,1,8204,6697,0.47,807,2811,1709,1155,0.585
0021500097,2015-11-08,PHX @ OKC,Phoenix Suns,1610612756,Oklahoma City Thunder,1610612760,L,0,8271,7018,0.435,943,2733,1701,1410,0.28,1,9038,7082,0.476,1071,2916,1883,1305,0.671
0021500098,2015-11-08,POR vs. DET,Portland Trail Blazers,1610612757,Detroit Pistons,1610612765,L,1,8622,7040,0.45,948,2782,1748,1200,0.537,0,8361,7087,0.439,1021,2777,1594,1110,0.537
0021500099,2015-11-09,IND vs. ORL,Indiana Pacers,1610612754,Orlando Magic,1610612753,W,1,8377,6985,0.45,847,2779,1741,1219,0.549,0,8369,7120,0.455,843,2709,1933,1155,0.427
0021500100,2015-11-09,CHI @ PHI,Chicago Bulls,1610612741,Philadelphia 76ers,1610612755,W,0,8335,7170,0.441,907,2889,1870,1141,0.512,1,7988,6887,0.431,777,2605,1765,1343,0.122
0021500101,2015-11-09,MIN @ ATL,Minnesota Timberwolves,1610612750,Atlanta Hawks,1610612737,W,0,8398,6668,0.464,821,2587,1916,1231,0.354,1,8433,6923,0.458,679,2772,2100,1226,0.585
0021500102,2015-11-09,DEN vs. POR,Denver Nuggets,1610612743,Portland Trail Blazers,1610612757,W,1,8355,7003,0.442,941,2718,1858,1202,0.402,0,8622,7040,0.45,948,2782,1748,1200,0.537
0021500103,2015-11-09,SAS @ SAC,San Antonio Spurs,1610612759,Sacramento Kings,1610612758,W,0,8490,6797,0.484,770,2831,2010,1071,0.817,1,8740,7083,0.464,868,2760,2009,1326,0.402
0021500104,2015-11-09,DET @ GSW,Detroit Pistons,1610612765,Golden State Warriors,1610612744,L,0,8361,7087,0.439,1021,2777,1594,1110,0.537,1,9421,7159,0.487,816,2972,2373,1245,0.89
