GAME_ID,GAME_DATE,MATCHUP,TEAM_1_NAME,TEAM_1_ID,TEAM_2_NAME,TEAM_2_ID,TEAM_1_WIN/LOSS,TEAM_1_HOME/AWAY,TEAM_1_PTS,TEAM_1_POSS,TEAM_1_PPP,TEAM_1_DEF_PPP,TEAM_1_TS%,TEAM_1_eFG%,TEAM_1_FGA,TEAM_1_FGM,TEAM_1_FG3M,TEAM_1_FTA,TEAM_1_FG_PCT,TEAM_1_OREB,TEAM_1_DREB,TEAM_1_AST,TEAM_1_TOV,TEAM_1_WIN_PCT,TEAM_2_HOME/AWAY,TEAM_2_PTS,TEAM_2_POSS,TEAM_2_PPP,TEAM_2_DEF_PPP,TEAM_2_TS%,TEAM_2_eFG%,TEAM_2_FGA,TEAM_2_FGM,TEAM_2_FG3M,TEAM_2_FTA,TEAM_2_FG_PCT,TEAM_2_OREB,TEAM_2_DREB,TEAM_2_AST,TEAM_2_TOV,TEAM_2_WIN_PCT
0021800001,2018-10-16,BOS vs. PHI,Boston Celtics,1610612738,Philadelphia 76ers,1610612755,W,1,9216.0,8374.119999999999,1.1005335485997336,1.1278797055690628,0.5670602944578716,0.5344200458035835,7423.0,3451.0,1032.0,1598.0,0.465,804.0,2849.0,2155.0,1052.0,0.598,0,9445.0,8557.52,1.1037076162252615,1.0769475268535744,0.5740580464157383,0.5324899764966128,7233.0,3407.0,889.0,2258.0,0.471,892.0,3025.0,2207.0,1223.0,0.622
0021800002,2018-10-16,OKC @ GSW,Oklahoma City Thunder,1610612760,Golden State Warriors,1610612744,L,0,9387.0,8721.56,1.0762982769137632,1.1064534326427842,0.5452764778868808,0.5142745912276149,7706.0,3497.0,932.0,2049.0,0.454,1031.0,2911.0,1917.0,1145.0,0.598,1,9650.0,8468.68,1.1394928135199347,1.108437206270635,0.5959232673145042,0.5645292759135987,7361.0,3612.0,1087.0,1672.0,0.491,797.0,2990.0,2413.0,1169.0,0.695
0021800003,2018-10-17,CHA vs. MIL,Charlotte Hornets,1610612766,Milwaukee Bucks,1610612749,L,1,9081.0,8382.8,1.083289592976094,1.1554611824211483,0.5540032699675445,0.5141945123607715,7362.0,3297.0,977.0,1895.0,0.448,814.0,2778.0,1905.0,1001.0,0.476,0,9686.0,8683.76,1.1154154421586961,1.045745161082296,0.5828787929847534,0.549792531120332,7471.0,3555.0,1105.0,1904.0,0.476,762.0,3316.0,2136.0,1137.0,0.732
0021800004,2018-10-17,BKN @ DET,Brooklyn Nets,1610612751,Detroit Pistons,1610612765,L,0,9204.0,8612.72,1.0686519473522884,1.0191902209754875,0.5560173595337283,0.5197743952160914,7358.0,3301.0,1047.0,2088.0,0.449,900.0,2919.0,1954.0,1236.0,0.512,1,8778.0,8269.92,1.0614371118463057,1.1129490974519705,0.5438041759799378,0.5086349820392374,7238.0,3185.0,993.0,1893.0,0.44,936.0,2752.0,1845.0,1135.0,0.5
0021800005,2018-10-17,IND vs. MEM,Indiana Pacers,1610612754,Memphis Grizzlies,1610612763,W,1,8857.0,8254.880000000001,1.0729410966603996,1.0284825460818328,0.5609331617453337,0.5297126839523476,7135.0,3390.0,779.0,1727.0,0.475,762.0,2766.0,2128.0,1122.0,0.585,0,8490.0,8176.08,1.0383949276425868,1.0832819639729552,0.5475949680601851,0.50816002310803,6924.0,3113.0,811.0,1882.0,0.45,723.0,2703.0,1963.0,1147.0,0.402
0021800006,2018-10-17,ORL vs. MIA,Orlando Magic,1610612753,Miami Heat,1610612748,W,1,8800.0,8260.0,1.0653753026634383,1.0493946731234867,0.55,0.5179280142329273,7307.0,3316.0,937.0,1575.0,0.454,822.0,2902.0,2095.0,1082.0,0.512,0,8668.0,8289.08,1.0457131551390504,1.0616377209533507,0.5416091816127807,0.5146855084510945,7218.0,3251.0,928.0,1782.0,0.45,921.0,2879.0,1991.0,1208.0,0.476
0021800007,2018-10-17,NYK vs. ATL,New York Knicks,1610612752,Atlanta Hawks,1610612737,W,1,8575.0,8395.64,1.0213634696104168,1.1070031587824156,0.5292138381858488,0.4896423145974313,7241.0,3134.0,823.0,1956.0,0.433,857.0,2811.0,1646.0,1151.0,0.207,0,9294.0,8809.92,1.054947150484908,0.9733346046275108,0.5553351370471993,0.5217304625199362,7524.0,3392.0,1067.0,1918.0,0.451,955.0,2825.0,2118.0,1397.0,0.354
0021800008,2018-10-17,CLE @ TOR,Cleveland Cavaliers,1610612739,Toronto Raptors,1610612761,L,0,8567.0,8156.36,1.0503459876709709,1.150513219132064,0.5402075325120818,0.5028535634743875,7184.0,3189.0,847.0,1694.0,0.444,879.0,2619.0,1698.0,1106.0,0.232,1,9384.0,8462.32,1.1089157583263218,1.0123701301770673,0.5793794268440862,0.5431211498973306,7305.0,3460.0,1015.0,1803.0,0.474,786.0,2920.0,2085.0,1150.0,0.707
0021800009,2018-10-17,HOU vs. NOP,Houston Rockets,1610612745,New Orleans Pelicans,1610612740,L,1,9341.0,8301.44,1.1252264667334824,1.140284095289492,0.5806595188128462,0.5416026804411559,7163.0,3218.0,1323.0,2001.0,0.449,836.0,2613.0,1741.0,1094.0,0.646,0,9466.0,8714.24,1.0862679935370152,1.0719236559929495,0.5629002026583447,0.5291550971836573,7563.0,3581.0,842.0,1921.0,0.473,909.0,2969.0,2216.0,1215.0,0.402
0021800010,2018-10-17,SAS vs. MIN,San Antonio Spurs,1610612759,Minnesota Timberwolves,1610612750,W,1,9156.0,8239.8,1.1111920192237676,1.1193232845457415,0.5719068558864681,0.5344922737306843,7248.0,3468.0,812.0,1720.0,0.478,757.0,2910.0,2013.0,992.0,0.585,0,9223.0,8511.8,1.0835545947978102,1.0756831692473978,0.5515620514783275,0.511359080582654,7483.0,3413.0,827.0,1995.0,0.456,923.0,2750.0,2018.0,1074.0,0.439
