GAME_ID,GAME_DATE,MATCHUP,TEAM_1_NAME,TEAM_1_ID,TEAM_2_NAME,TEAM_2_ID,TEAM_1_WIN/LOSS,TEAM_1_HOME/AWAY,TEAM_1_PTS,TEAM_1_FGA,TEAM_1_FG_PCT,TEAM_1_OREB,TEAM_1_DREB,TEAM_1_AST,TEAM_1_TOV,TEAM_1_WIN_PCT,TEAM_2_HOME/AWAY,TEAM_2_PTS,TEAM_2_FGA,TEAM_2_FG_PCT,TEAM_2_OREB,TEAM_2_DREB,TEAM_2_AST,TEAM_2_TOV,TEAM_2_WIN_PCT
0021300001,2013-10-29,IND vs. ORL,Indiana Pacers,1610612754,Orlando Magic,1610612753,W,1,7933,6573,0.449,834,2831,1651,1237,0.683,0,7914,6784,0.445,794,2654,1726,1222,0.28
0021300002,2013-10-29,MIA vs. CHI,Miami Heat,1610612748,Chicago Bulls,1610612741,W,1,8380,6272,0.501,627,2397,1847,1212,0.659,0,7680,6577,0.432,937,2683,1860,1223,0.585
0021300003,2013-10-29,LAL vs. LAC,Los Angeles Lakers,1610612747,Los Angeles Clippers,1610612746,W,1,8442,6980,0.45,745,2620,2006,1239,0.329,0,8850,6761,0.474,858,2668,2016,1136,0.695
0021300004,2013-10-30,BKN @ CLE,Brooklyn Nets,1610612751,Cleveland Cavaliers,1610612739,L,0,8079,6391,0.459,721,2407,1714,1191,0.537,1,8054,6955,0.437,989,2629,1738,1163,0.402
0021300005,2013-10-30,MIA @ PHI,Miami Heat,1610612748,Philadelphia 76ers,1610612755,L,0,8380,6272,0.501,627,2397,1847,1212,0.659,1,8155,7150,0.435,949,2556,1791,1384,0.232
0021300006,2013-10-30,TOR vs. BOS,Toronto Raptors,1610612761,Boston Celtics,1610612738,W,1,8305,6718,0.445,935,2552,1737,1159,0.585,0,7892,6883,0.435,980,2505,1726,1261,0.305
0021300007,2013-10-30,DET vs. WAS,Detroit Pistons,1610612765,Washington Wizards,1610612764,W,1,8286,7124,0.447,1196,2525,1714,1193,0.354,0,8254,6920,0.459,886,2573,1909,1204,0.537
0021300008,2013-10-30,MIL @ NYK,Milwaukee Bucks,1610612749,New York Knicks,1610612752,L,0,7829,6737,0.438,971,2399,1760,1238,0.183,1,8084,6739,0.449,870,2437,1641,1063,0.451
0021300009,2013-10-30,CHA @ HOU,Charlotte Bobcats,1610612766,Houston Rockets,1610612745,L,0,7942,6730,0.442,776,2724,1778,1010,0.524,1,8829,6603,0.472,920,2797,1755,1323,0.659
0021300010,2013-10-30,MIN vs. ORL,Minnesota Timberwolves,1610612750,Orlando Magic,1610612753,W,1,8768,7175,0.444,1024,2644,1963,1142,0.488,0,7914,6784,0.445,794,2654,1726,1222,0.28
0021300011,2013-10-30,NOP vs. IND,New Orleans Pelicans,1610612740,Indiana Pacers,1610612754,L,1,8177,6761,0.459,933,2486,1745,1129,0.415,0,7933,6573,0.449,834,2831,1651,1237,0.683
0021300012,2013-10-30,ATL @ DAL,Atlanta Hawks,1610612737,Dallas Mavericks,1610612742,L,0,8282,6688,0.458,713,2565,2041,1251,0.463,1,8597,6858,0.474,840,2514,1935,1110,0.598
0021300013,2013-10-30,MEM @ SAS,Memphis Grizzlies,1610612763,San Antonio Spurs,1610612759,L,0,7884,6723,0.464,950,2526,1792,1124,0.61,1,8639,6844,0.486,762,2786,2064,1180,0.756
0021300014,2013-10-30,UTA vs. OKC,Utah Jazz,1610612762,Oklahoma City Thunder,1610612760,L,1,7791,6652,0.444,904,2477,1664,1200,0.305,0,8705,6782,0.471,887,2781,1794,1256,0.72
0021300015,2013-10-30,PHX vs. POR,Phoenix Suns,1610612756,Portland Trail Blazers,1610612757,W,1,8629,6845,0.463,928,2601,1563,1258,0.585,0,8753,7134,0.45,1022,2786,1904,1125,0.659
0021300016,2013-10-30,SAC vs. DEN,Sacramento Kings,1610612758,Denver Nuggets,1610612743,W,1,8241,6766,0.447,990,2656,1547,1249,0.341,0,8559,7042,0.447,1009,2717,1838,1305,0.439
0021300017,2013-10-30,GSW vs. LAL,Golden State Warriors,1610612744,Los Angeles Lakers,1610612747,W,1,8549,7005,0.462,896,2819,1912,1247,0.622,0,8442,6980,0.45,745,2620,2006,1239,0.329
0021300018,2013-10-31,CHI vs. NYK,Chicago Bulls,1610612741,New York Knicks,1610612752,W,1,7680,6577,0.432,937,2683,1860,1223,0.585,0,8084,6739,0.449,870,2437,1641,1063,0.451
0021300019,2013-10-31,GSW @ LAC,Golden State Warriors,1610612744,Los Angeles Clippers,1610612746,L,0,8549,7005,0.462,896,2819,1912,1247,0.622,1,8850,6761,0.474,858,2668,2016,1136,0.695
0021300020,2013-11-01,CLE @ CHA,Cleveland Cavaliers,1610612739,Charlotte Bobcats,1610612766,L,0,8054,6955,0.437,989,2629,1738,1163,0.402,1,7942,6730,0.442,776,2724,1778,1010,0.524
0021300021,2013-11-01,NOP @ ORL,New Orleans Pelicans,1610612740,Orlando Magic,1610612753,L,0,8177,6761,0.459,933,2486,1745,1129,0.415,1,7914,6784,0.445,794,2654,1726,1222,0.28
