GAME_ID,GAME_DATE,MATCHUP,TEAM_1_NAME,TEAM_1_ID,TEAM_2_NAME,TEAM_2_ID,TEAM_1_WIN/LOSS,TEAM_1_HOME/AWAY,TEAM_1_PTS,TEAM_1_POSS,TEAM_1_PPP,TEAM_1_DEF_PPP,TEAM_1_TS%,TEAM_1_eFG%,TEAM_1_FGA,TEAM_1_FGM,TEAM_1_FG3M,TEAM_1_FTA,TEAM_1_FG_PCT,TEAM_1_OREB,TEAM_1_DREB,TEAM_1_AST,TEAM_1_TOV,TEAM_1_WIN_PCT,TEAM_2_HOME/AWAY,TEAM_2_PTS,TEAM_2_POSS,TEAM_2_PPP,TEAM_2_DEF_PPP,TEAM_2_TS%,TEAM_2_eFG%,TEAM_2_FGA,TEAM_2_FGM,TEAM_2_FG3M,TEAM_2_FTA,TEAM_2_FG_PCT,TEAM_2_OREB,TEAM_2_DREB,TEAM_2_AST,TEAM_2_TOV,TEAM_2_WIN_PCT
0021100001,2011-12-25,BOS @ NYK,Boston Celtics,1610612738,New York Knicks,1610612752,L,0,6062.0,6131.52,0.9886618652471165,1.0532461771306298,0.53536859359324,0.4959693275658671,5086.0,2341.0,363.0,1308.0,0.46,509.0,2051.0,1557.0,979.0,0.591,1,6458.0,6366.96,1.014298817646098,0.9521027303454082,0.53336989342513,0.4917525773195876,5335.0,2365.0,517.0,1634.0,0.443,743.0,2012.0,1328.0,1056.0,0.545
0021100002,2011-12-25,DAL vs. MIA,Dallas Mavericks,1610612742,Miami Heat,1610612748,L,1,6322.0,6259.96,1.0099106064575492,1.038345292941169,0.52692466694227,0.4890059127864006,5412.0,2398.0,497.0,1334.0,0.443,665.0,2157.0,1380.0,926.0,0.545,0,6500.0,6231.12,1.0431511509969316,1.0145848579388617,0.5494394027509163,0.5047966231772832,5212.0,2446.0,370.0,1598.0,0.469,686.0,2060.0,1317.0,1002.0,0.697
0021100003,2011-12-25,LAL vs. CHI,Los Angeles Lakers,1610612747,Chicago Bulls,1610612741,L,1,6422.0,6216.16,1.0331136907672904,1.0229788165040796,0.533551783269305,0.4906937394247039,5319.0,2429.0,362.0,1589.0,0.457,799.0,2251.0,1485.0,997.0,0.621,0,6359.0,6083.36,1.045310486310197,1.0556666052970727,0.5233434726501804,0.49002196997436837,5462.0,2467.0,419.0,1394.0,0.452,915.0,2165.0,1527.0,923.0,0.758
0021100004,2011-12-25,OKC vs. ORL,Oklahoma City Thunder,1610612760,Orlando Magic,1610612753,W,1,6802.0,6349.36,1.0712890748043897,0.9788388121007472,0.567177420968721,0.5159686364505641,5229.0,2462.0,472.0,1744.0,0.471,726.0,2157.0,1224.0,1079.0,0.712,0,6215.0,6067.52,1.0243064711776804,1.1210511048995306,0.5334287754569549,0.5056179775280899,5162.0,2275.0,670.0,1508.0,0.441,742.0,2060.0,1321.0,984.0,0.561
0021100005,2011-12-25,GSW vs. LAC,Golden State Warriors,1610612744,Los Angeles Clippers,1610612746,L,1,6453.0,6261.4,1.030600185262082,1.0282045548918772,0.5389716691166645,0.5054198052544553,5443.0,2489.0,524.0,1235.0,0.457,640.0,1947.0,1470.0,915.0,0.348,0,6438.0,6121.72,1.0516652182719888,1.0541155100200597,0.5327071252680912,0.5024226612001491,5366.0,2439.0,514.0,1538.0,0.455,800.0,1943.0,1385.0,879.0,0.606
0021100006,2011-12-26,NJN @ WAS,New Jersey Nets,1610612751,Washington Wizards,1610612764,W,0,6144.0,6162.52,0.9969947359197211,1.0028365019505008,0.5162574027143846,0.47283834586466167,5320.0,2262.0,507.0,1433.0,0.425,783.0,1879.0,1311.0,995.0,0.333,1,6180.0,6317.84,0.9781824167753536,0.9724842667747204,0.5078194332143491,0.4723287671232877,5475.0,2414.0,344.0,1386.0,0.441,775.0,1975.0,1262.0,1008.0,0.303
0021100007,2011-12-26,MIL @ CHA,Milwaukee Bucks,1610612749,Charlotte Bobcats,1610612766,L,0,6535.0,6383.6,1.0237170248762453,0.8990224951438059,0.5207503267140534,0.48124557678697805,5652.0,2502.0,436.0,1415.0,0.443,820.0,1983.0,1550.0,929.0,0.47,1,5739.0,6216.28,0.9232209617327405,1.0512718217326118,0.48338353312175303,0.439164934819573,5293.0,2193.0,263.0,1462.0,0.414,677.0,1894.0,1326.0,957.0,0.106
0021100008,2011-12-26,HOU @ ORL,Houston Rockets,1610612745,Orlando Magic,1610612753,L,0,6474.0,6301.4400000000005,1.0273842169408895,0.9862825005078204,0.529315960912052,0.4921522641169042,5543.0,2489.0,478.0,1301.0,0.449,769.0,2014.0,1404.0,955.0,0.515,1,6215.0,6067.52,1.0243064711776804,1.0669927746426875,0.5334287754569549,0.5056179775280899,5162.0,2275.0,670.0,1508.0,0.441,742.0,2060.0,1321.0,984.0,0.561
0021100009,2011-12-26,TOR @ CLE,Toronto Raptors,1610612761,Cleveland Cavaliers,1610612739,W,0,5986.0,6078.4,0.9847986312187418,1.0101342458541722,0.5183222499307287,0.4754559565386108,5154.0,2268.0,365.0,1410.0,0.44,697.0,2074.0,1382.0,1001.0,0.348,1,6140.0,6259.8,0.9808620083708744,0.9562605834052206,0.5046188237614648,0.4628731343283582,5360.0,2261.0,440.0,1645.0,0.422,841.0,1949.0,1308.0,1017.0,0.318
0021100010,2011-12-26,DET @ IND,Detroit Pistons,1610612765,Indiana Pacers,1610612754,L,0,5997.0,6132.84,0.9778503923141644,1.0515519726586704,0.5103968788937231,0.4681766055045872,5232.0,2291.0,317.0,1461.0,0.438,775.0,1882.0,1232.0,1033.0,0.379,1,6449.0,6232.56,1.0347273030664765,0.9622049366552428,0.5257142670814339,0.4744186046511628,5375.0,2354.0,392.0,1724.0,0.438,826.0,2070.0,1228.0,925.0,0.636
