GAME_ID,GAME_DATE,MATCHUP,TEAM_1_NAME,TEAM_1_ID,TEAM_2_NAME,TEAM_2_ID,TEAM_1_WIN/LOSS,TEAM_1_HOME/AWAY,TEAM_1_PTS,TEAM_1_FGA,TEAM_1_FG_PCT,TEAM_1_OREB,TEAM_1_DREB,TEAM_1_AST,TEAM_1_TOV,TEAM_1_WIN_PCT,TEAM_2_HOME/AWAY,TEAM_2_PTS,TEAM_2_FGA,TEAM_2_FG_PCT,TEAM_2_OREB,TEAM_2_DREB,TEAM_2_AST,TEAM_2_TOV,TEAM_2_WIN_PCT
0022000001,2020-12-22,GSW @ BKN,Golden State Warriors,1610612744,Brooklyn Nets,1610612751,L,0,8187,6347,0.468,574,2524,1991,1080,0.542,1,8537,6289,0.494,640,2559,1929,975,0.667
0022000002,2020-12-22,LAL vs. LAC,Los Angeles Lakers,1610612747,LA Clippers,1610612746,L,1,7887,6197,0.472,695,2490,1775,1095,0.583,0,8209,6242,0.482,678,2501,1756,949,0.653
0022000003,2020-12-23,MIL @ BOS,Milwaukee Bucks,1610612749,Boston Celtics,1610612738,L,0,8649,6610,0.487,741,2724,1834,995,0.639,1,8109,6401,0.466,765,2421,1689,1012,0.5
0022000004,2020-12-23,DAL @ PHX,Dallas Mavericks,1610612742,Phoenix Suns,1610612756,L,0,8096,6287,0.47,657,2463,1647,869,0.583,1,8300,6357,0.49,630,2462,1939,902,0.708
0022000005,2020-12-25,NOP @ MIA,New Orleans Pelicans,1610612740,Miami Heat,1610612748,L,0,8251,6412,0.477,845,2568,1872,1052,0.431,1,7781,6029,0.468,579,2409,1895,1013,0.556
0022000006,2020-12-25,GSW @ MIL,Golden State Warriors,1610612744,Milwaukee Bucks,1610612749,L,0,8187,6347,0.468,574,2524,1991,1080,0.542,1,8649,6610,0.487,741,2724,1834,995,0.639
0022000007,2020-12-25,BOS vs. BKN,Boston Celtics,1610612738,Brooklyn Nets,1610612751,L,1,8109,6401,0.466,765,2421,1689,1012,0.5,0,8537,6289,0.494,640,2559,1929,975,0.667
0022000008,2020-12-25,DAL @ LAL,Dallas Mavericks,1610612742,Los Angeles Lakers,1610612747,L,0,8096,6287,0.47,657,2463,1647,869,0.583,1,7887,6197,0.472,695,2490,1775,1095,0.583
0022000009,2020-12-25,DEN vs. LAC,Denver Nuggets,1610612743,LA Clippers,1610612746,L,1,8284,6422,0.485,758,2442,1933,972,0.653,0,8209,6242,0.482,678,2501,1756,949,0.653
0022000010,2020-12-23,CHA @ CLE,Charlotte Hornets,1610612766,Cleveland Cavaliers,1610612739,L,0,7881,6324,0.455,762,2389,1933,1069,0.458,1,7476,6175,0.45,751,2327,1716,1114,0.306
0022000011,2020-12-23,NYK @ IND,New York Knicks,1610612752,Indiana Pacers,1610612754,L,0,7706,6225,0.456,696,2554,1541,932,0.569,1,8302,6567,0.474,648,2424,1973,975,0.472
0022000012,2020-12-23,ORL vs. MIA,Orlando Magic,1610612753,Miami Heat,1610612748,W,1,7488,6423,0.429,747,2525,1571,924,0.292,0,7781,6029,0.468,579,2409,1895,1013,0.556
0022000013,2020-12-23,PHI vs. WAS,Philadelphia 76ers,1610612755,Washington Wizards,1610612764,W,1,8182,6257,0.476,722,2522,1706,1040,0.681,0,8398,6547,0.475,697,2557,1835,1036,0.472
0022000014,2020-12-23,NOP @ TOR,New Orleans Pelicans,1610612740,Toronto Raptors,1610612761,W,0,8251,6412,0.477,845,2568,1872,1052,0.431,1,8011,6383,0.448,680,2314,1735,952,0.375
0022000015,2020-12-23,CHI vs. ATL,Chicago Bulls,1610612741,Atlanta Hawks,1610612737,L,1,7969,6380,0.476,693,2544,1927,1089,0.431,0,8186,6281,0.468,760,2525,1737,953,0.569
0022000016,2021-03-21,HOU vs. OKC,Houston Rockets,1610612745,Oklahoma City Thunder,1610612760,L,1,7833,6372,0.444,671,2396,1699,1060,0.236,0,7560,6338,0.441,715,2568,1588,1162,0.306
0022000017,2020-12-23,SAS @ MEM,San Antonio Spurs,1610612759,Memphis Grizzlies,1610612763,W,0,7998,6518,0.462,669,2489,1759,821,0.458,1,8157,6608,0.467,803,2543,1938,957,0.528
0022000018,2020-12-23,MIN vs. DET,Minnesota Timberwolves,1610612750,Detroit Pistons,1610612765,W,1,8073,6546,0.448,757,2376,1846,1027,0.319,0,7676,6162,0.452,694,2381,1743,1075,0.278
