GAME_ID,GAME_DATE,MATCHUP,TEAM_1_NAME,TEAM_1_ID,TEAM_2_NAME,TEAM_2_ID,TEAM_1_WIN/LOSS,TEAM_1_HOME/AWAY,TEAM_1_PTS,TEAM_1_FGA,TEAM_1_FG_PCT,TEAM_1_OREB,TEAM_1_DREB,TEAM_1_AST,TEAM_1_TOV,TEAM_1_WIN_PCT,TEAM_2_HOME/AWAY,TEAM_2_PTS,TEAM_2_FGA,TEAM_2_FG_PCT,TEAM_2_OREB,TEAM_2_DREB,TEAM_2_AST,TEAM_2_TOV,TEAM_2_WIN_PCT
0022100001,2021-10-19,MIL vs. BKN,Milwaukee Bucks,1610612749,Brooklyn Nets,1610612751,W,1,9470,7331,0.468,840,2990,1960,1100,0.622,0,9258,7251,0.475,844,2796,2071,1153,0.537
0022100002,2021-10-19,LAL vs. GSW,Los Angeles Lakers,1610612747,Golden State Warriors,1610612744,L,1,9192,7279,0.469,782,2826,1968,1191,0.402,0,9102,7087,0.469,800,2930,2223,1221,0.646
0022100003,2021-10-20,IND @ CHA,Indiana Pacers,1610612754,Charlotte Hornets,1610612766,L,0,9140,7338,0.463,925,2671,2081,1183,0.305,1,9457,7497,0.468,888,2767,2302,1087,0.524
0022100004,2021-10-20,CHI @ DET,Chicago Bulls,1610612741,Detroit Pistons,1610612765,W,0,9152,7127,0.48,711,2760,1958,1053,0.561,1,8596,7267,0.431,900,2625,1924,1163,0.28
0022100005,2021-10-20,BOS @ NYK,Boston Celtics,1610612738,New York Knicks,1610612752,L,0,9164,7167,0.466,863,2915,2036,1118,0.622,1,8731,7069,0.437,941,2841,1793,1087,0.451
0022100006,2021-10-20,TOR vs. WAS,Toronto Raptors,1610612761,Washington Wizards,1610612764,L,1,8970,7489,0.445,1095,2622,1809,1021,0.585,0,8907,7056,0.472,737,2798,2052,1077,0.427
0022100007,2021-10-20,MEM vs. CLE,Memphis Grizzlies,1610612763,Cleveland Cavaliers,1610612739,W,1,9480,7739,0.461,1159,2873,2131,1082,0.683,0,8839,6940,0.469,837,2786,2064,1181,0.537
0022100008,2021-10-20,HOU @ MIN,Houston Rockets,1610612745,Minnesota Timberwolves,1610612750,L,0,8997,7083,0.456,786,2660,1932,1351,0.244,1,9507,7458,0.457,921,2700,2106,1175,0.561
0022100009,2021-10-20,NOP vs. PHI,New Orleans Pelicans,1610612740,Philadelphia 76ers,1610612755,L,1,8962,7212,0.457,981,2726,2047,1153,0.439,0,9015,6932,0.466,700,2770,1945,1027,0.622
0022100010,2021-10-20,ORL @ SAS,Orlando Magic,1610612753,San Antonio Spurs,1610612759,L,0,8547,7240,0.434,746,2885,1947,1188,0.268,1,9279,7601,0.467,901,2815,2289,1043,0.415
0022100011,2021-10-20,UTA vs. OKC,Utah Jazz,1610612762,Oklahoma City Thunder,1610612760,W,1,9316,7067,0.471,884,2916,1836,1148,0.598,0,8506,7310,0.43,854,2887,1822,1145,0.293
0022100012,2021-10-20,DEN @ PHX,Denver Nuggets,1610612743,Phoenix Suns,1610612756,W,0,9243,7079,0.483,752,2865,2279,1189,0.585,1,9416,7389,0.485,801,2913,2244,1060,0.78
0022100013,2021-10-20,SAC @ POR,Sacramento Kings,1610612758,Portland Trail Blazers,1610612757,W,0,9045,7223,0.46,784,2737,1943,1156,0.366,1,8711,7144,0.442,854,2661,1880,1187,0.329
0022100014,2021-10-21,DAL @ ATL,Dallas Mavericks,1610612742,Atlanta Hawks,1610612737,L,0,8858,6982,0.461,759,2769,1918,1025,0.634,1,9343,7241,0.47,823,2783,2017,972,0.524
0022100015,2021-10-21,MIL @ MIA,Milwaukee Bucks,1610612749,Miami Heat,1610612748,L,0,9470,7331,0.468,840,2990,1960,1100,0.622,1,9022,6954,0.467,807,2778,2090,1194,0.646
0022100016,2021-10-21,LAC @ GSW,LA Clippers,1610612746,Golden State Warriors,1610612744,L,0,8890,7170,0.458,747,2860,1969,1126,0.512,1,9102,7087,0.469,800,2930,2223,1221,0.646
0022100017,2021-10-22,CHA @ CLE,Charlotte Hornets,1610612766,Cleveland Cavaliers,1610612739,W,0,9457,7497,0.468,888,2767,2302,1087,0.524,1,8839,6940,0.469,837,2786,2064,1181,0.537
0022100018,2021-10-22,ORL vs. NYK,Orlando Magic,1610612753,New York Knicks,1610612752,L,1,8547,7240,0.434,746,2885,1947,1188,0.268,0,8731,7069,0.437,941,2841,1793,1087,0.451
0022100019,2021-10-22,IND @ WAS,Indiana Pacers,1610612754,Washington Wizards,1610612764,L,0,9140,7338,0.463,925,2671,2081,1183,0.305,1,8907,7056,0.472,737,2798,2052,1077,0.427
0022100020,2021-10-22,TOR @ BOS,Toronto Raptors,1610612761,Boston Celtics,1610612738,W,0,8970,7489,0.445,1095,2622,1809,1021,0.585,1,9164,7167,0.466,863,2915,2036,1118,0.622
0022100021,2021-10-22,BKN @ PHI,Brooklyn Nets,1610612751,Philadelphia 76ers,1610612755,W,0,9258,7251,0.475,844,2796,2071,1153,0.537,1,9015,6932,0.466,700,2770,1945,1027,0.622
0022100022,2021-10-22,CHI vs. NOP,Chicago Bulls,1610612741,New Orleans Pelicans,1610612740,W,1,9152,7127,0.48,711,2760,1958,1053,0.561,0,8962,7212,0.457,981,2726,2047,1153,0.439
0022100023,2021-10-22,OKC @ HOU,Oklahoma City Thunder,1610612760,Houston Rockets,1610612745,L,0,8506,7310,0.43,854,2887,1822,1145,0.293,1,8997,7083,0.456,786,2660,1932,1351,0.244
0022100024,2021-10-22,SAS @ DEN,San Antonio Spurs,1610612759,Denver Nuggets,1610612743,L,0,9279,7601,0.467,901,2815,2289,1043,0.415,1,9243,7079,0.483,752,2865,2279,1189,0.585
0022100025,2021-10-22,LAL vs. PHX,Los Angeles Lakers,1610612747,Phoenix Suns,1610612756,L,1,9192,7279,0.469,782,2826,1968,1191,0.402,0,9416,7389,0.485,801,2913,2244,1060,0.78
0022100026,2021-10-22,SAC vs. UTA,Sacramento Kings,1610612758,Utah Jazz,1610612762,L,1,9045,7223,0.46,784,2737,1943,1156,0.366,0,9316,7067,0.471,884,2916,1836,1148,0.598
0022100027,2021-10-23,CLE vs. ATL,Cleveland Cavaliers,1610612739,Atlanta Hawks,1610612737,W,1,8839,6940,0.469,837,2786,2064,1181,0.537,0,9343,7241,0.47,823,2783,2017,972,0.524
0022100028,2021-10-23,MIA @ IND,Miami Heat,1610612748,Indiana Pacers,1610612754,L,0,9022,6954,0.467,807,2778,2090,1194,0.646,1,9140,7338,0.463,925,2671,2081,1183,0.305
0022100029,2021-10-23,DAL @ TOR,Dallas Mavericks,1610612742,Toronto Raptors,1610612761,W,0,8858,6982,0.461,759,2769,1918,1025,0.634,1,8970,7489,0.445,1095,2622,1809,1021,0.585
0022100030,2021-10-23,DET @ CHI,Detroit Pistons,1610612765,Chicago Bulls,1610612741,L,0,8596,7267,0.431,900,2625,1924,1163,0.28,1,9152,7127,0.48,711,2760,1958,1053,0.561
0022100031,2021-10-23,MIN vs. NOP,Minnesota Timberwolves,1610612750,New Orleans Pelicans,1610612740,W,1,9507,7458,0.457,921,2700,2106,1175,0.561,0,8962,7212,0.457,981,2726,2047,1153,0.439
0022100032,2021-10-23,SAS vs. MIL,San Antonio Spurs,1610612759,Milwaukee Bucks,1610612749,L,1,9279,7601,0.467,901,2815,2289,1043,0.415,0,9470,7331,0.468,840,2990,1960,1100,0.622
0022100033,2021-10-23,PHX @ POR,Phoenix Suns,1610612756,Portland Trail Blazers,1610612757,L,0,9416,7389,0.485,801,2913,2244,1060,0.78,1,8711,7144,0.442,854,2661,1880,1187,0.329
0022100034,2021-10-23,LAC vs. MEM,LA Clippers,1610612746,Memphis Grizzlies,1610612763,L,1,8890,7170,0.458,747,2860,1969,1126,0.512,0,9480,7739,0.461,1159,2873,2131,1082,0.683
0022100035,2021-10-24,CHA @ BKN,Charlotte Hornets,1610612766,Brooklyn Nets,1610612751,W,0,9457,7497,0.468,888,2767,2302,1087,0.524,1,9258,7251,0.475,844,2796,2071,1153,0.537
0022100036,2021-10-24,NYK vs. ORL,New York Knicks,1610612752,Orlando Magic,1610612753,L,1,8731,7069,0.437,941,2841,1793,1087,0.451,0,8547,7240,0.434,746,2885,1947,1188,0.268
0022100037,2021-10-24,BOS @ HOU,Boston Celtics,1610612738,Houston Rockets,1610612745,W,0,9164,7167,0.466,863,2915,2036,1118,0.622,1,8997,7083,0.456,786,2660,1932,1351,0.244
0022100038,2021-10-24,OKC vs. PHI,Oklahoma City Thunder,1610612760,Philadelphia 76ers,1610612755,L,1,8506,7310,0.43,854,2887,1822,1145,0.293,0,9015,6932,0.466,700,2770,1945,1027,0.622
0022100039,2021-10-24,SAC vs. GSW,Sacramento Kings,1610612758,Golden State Warriors,1610612744,L,1,9045,7223,0.46,784,2737,1943,1156,0.366,0,9102,7087,0.469,800,2930,2223,1221,0.646
0022100040,2021-10-24,MEM @ LAL,Memphis Grizzlies,1610612763,Los Angeles Lakers,1610612747,L,0,9480,7739,0.461,1159,2873,2131,1082,0.683,1,9192,7279,0.469,782,2826,1968,1191,0.402
0022100041,2021-10-25,BOS @ CHA,Boston Celtics,1610612738,Charlotte Hornets,1610612766,W,0,9164,7167,0.466,863,2915,2036,1118,0.622,1,9457,7497,0.468,888,2767,2302,1087,0.524
0022100042,2021-10-25,IND vs. MIL,Indiana Pacers,1610612754,Milwaukee Bucks,1610612749,L,1,9140,7338,0.463,925,2671,2081,1183,0.305,0,9470,7331,0.468,840,2990,1960,1100,0.622
0022100043,2021-10-25,ATL vs. DET,Atlanta Hawks,1610612737,Detroit Pistons,1610612765,W,1,9343,7241,0.47,823,2783,2017,972,0.524,0,8596,7267,0.431,900,2625,1924,1163,0.28
0022100044,2021-10-25,BKN vs. WAS,Brooklyn Nets,1610612751,Washington Wizards,1610612764,W,1,9258,7251,0.475,844,2796,2071,1153,0.537,0,8907,7056,0.472,737,2798,2052,1077,0.427
0022100045,2021-10-25,ORL @ MIA,Orlando Magic,1610612753,Miami Heat,1610612748,L,0,8547,7240,0.434,746,2885,1947,1188,0.268,1,9022,6954,0.467,807,2778,2090,1194,0.646
0022100046,2021-10-25,TOR vs. CHI,Toronto Raptors,1610612761,Chicago Bulls,1610612741,L,1,8970,7489,0.445,1095,2622,1809,1021,0.585,0,9152,7127,0.48,711,2760,1958,1053,0.561
0022100047,2021-10-25,MIN vs. NOP,Minnesota Timberwolves,1610612750,New Orleans Pelicans,1610612740,L,1,9507,7458,0.457,921,2700,2106,1175,0.561,0,8962,7212,0.457,981,2726,2047,1153,0.439
0022100048,2021-10-25,DEN vs. CLE,Denver Nuggets,1610612743,Cleveland Cavaliers,1610612739,L,1,9243,7079,0.483,752,2865,2279,1189,0.585,0,8839,6940,0.469,837,2786,2064,1181,0.537
0022100049,2021-10-25,LAC vs. POR,LA Clippers,1610612746,Portland Trail Blazers,1610612757,W,1,8890,7170,0.458,747,2860,1969,1126,0.512,0,8711,7144,0.442,854,2661,1880,1187,0.329
0022100050,2021-10-26,NYK vs. PHI,New York Knicks,1610612752,Philadelphia 76ers,1610612755,W,1,8731,7069,0.437,941,2841,1793,1087,0.451,0,9015,6932,0.466,700,2770,1945,1027,0.622
