,Unnamed: 0,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1144,0,2022200321,1612709917,Grand Rapids,Gold,GRG,gold,240:00,108.6,106.8,108.1,100.0,0.5,6.8,0.587,2.25,19.1,0.246,0.774,0.5,11.848,11.7,0.526,0.538,1.0,0.2,98.76,103.5,86.25,103.0,0.519
1145,1,2022200321,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,240:00,108.1,100.0,108.6,106.8,-0.5,-6.8,0.656,1.4,16.4,0.226,0.754,0.5,15.586,14.4,0.434,0.564,1.0,0.213,98.76,103.5,86.25,104.0,0.481
1146,0,22200910,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,107.0,109.5,103.4,107.4,3.6,2.0,0.395,1.25,12.2,0.296,0.617,0.465,12.341,12.6,0.511,0.54,1.0,0.198,97.46,94.5,78.75,95.0,0.51
1147,1,22200910,1610612756,Phoenix,Suns,PHX,suns,240:00,103.4,107.4,107.0,109.5,-3.6,-2.0,0.525,1.75,15.3,0.383,0.704,0.535,12.285,12.8,0.463,0.482,1.0,0.199,97.46,94.5,78.75,94.0,0.49
1148,0,22200918,1610612743,Denver,Nuggets,DEN,nuggets,265:00,116.9,121.8,112.5,113.8,4.4,8.1,0.714,2.19,21.8,0.333,0.863,0.598,13.957,14.5,0.578,0.611,1.0,0.196,101.81,99.17,82.64,110.0,0.549
1149,1,22200918,1610612746,LA,Clippers,LAC,clippers,265:00,112.5,113.8,116.9,121.8,-4.4,-8.1,0.545,1.85,17.1,0.137,0.667,0.402,11.797,11.9,0.55,0.601,1.0,0.194,101.81,99.17,82.64,109.0,0.451
1150,0,2022200323,1612709890,Austin,Spurs,AUS,spurs,240:00,100.2,93.2,117.8,112.5,-17.6,-19.3,0.4,0.55,10.4,0.17,0.809,0.489,22.965,21.4,0.466,0.587,1.0,0.212,97.54,103.5,86.25,103.0,0.404
1151,1,2022200323,1612709921,Long Island,Nets,LIN,nets,240:00,117.8,112.5,100.2,93.2,17.6,19.3,0.364,1.23,12.9,0.191,0.83,0.511,13.094,12.5,0.55,0.614,1.0,0.205,97.54,103.5,86.25,104.0,0.596
1152,0,22200914,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,122.7,121.6,92.4,95.9,30.3,25.8,0.705,2.21,22.9,0.195,0.729,0.51,14.559,14.4,0.631,0.654,1.0,0.196,98.38,97.0,80.83,97.0,0.662
1153,1,22200914,1610612761,Toronto,Raptors,TOR,raptors,240:00,92.4,95.9,122.7,121.6,-30.3,-25.8,0.528,1.36,14.3,0.271,0.805,0.49,13.917,14.4,0.435,0.467,1.0,0.197,98.38,97.0,80.83,97.0,0.338
1154,0,22200915,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,113.7,112.7,120.9,124.0,-7.2,-11.3,0.585,1.71,17.9,0.25,0.659,0.446,13.845,13.7,0.57,0.598,1.0,0.2,101.84,101.0,84.17,102.0,0.457
1155,1,22200915,1610612758,Sacramento,Kings,SAC,kings,240:00,120.9,124.0,113.7,112.7,7.2,11.3,0.711,1.6,21.7,0.341,0.75,0.554,19.501,20.0,0.635,0.649,1.0,0.196,101.84,101.0,84.17,100.0,0.543
1156,0,22200911,1610612737,Atlanta,Hawks,ATL,hawks,240:00,122.5,125.2,122.4,121.0,0.1,4.3,0.444,1.25,14.5,0.333,0.795,0.554,15.192,15.5,0.589,0.63,1.0,0.199,104.54,104.0,86.67,103.0,0.486
1157,1,22200911,1610612751,Brooklyn,Nets,BKN,nets,240:00,122.4,121.0,122.5,125.2,-0.1,-4.3,0.465,2.0,15.4,0.205,0.667,0.446,9.638,9.5,0.575,0.637,1.0,0.199,104.54,104.0,86.67,105.0,0.514
1158,0,22200912,1610612741,Chicago,Bulls,CHI,bulls,240:00,114.0,117.2,91.0,92.1,23.0,25.1,0.525,1.91,17.7,0.244,0.667,0.478,12.293,12.6,0.557,0.59,1.0,0.191,89.8,88.0,73.33,87.0,0.626
1159,1,22200912,1610612764,Washington,Wizards,WAS,wizards,240:00,91.0,92.1,114.0,117.2,-23.0,-25.1,0.688,1.38,17.7,0.333,0.756,0.522,17.754,18.0,0.461,0.476,1.0,0.2,89.8,88.0,73.33,89.0,0.374
1160,0,22200916,1610612744,Golden State,Warriors,GSW,warriors,240:00,106.2,106.9,98.8,102.0,7.3,4.9,0.59,1.28,16.2,0.345,0.737,0.545,17.53,17.6,0.511,0.541,1.0,0.197,103.96,102.0,85.0,102.0,0.531
1161,1,22200916,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,98.8,102.0,106.2,106.9,-7.3,-4.9,0.684,1.63,18.4,0.263,0.655,0.455,15.203,15.7,0.517,0.524,1.0,0.198,103.96,102.0,85.0,102.0,0.469
1162,0,2022200320,1612709889,Oklahoma City,Blue,OKL,blue,240:00,110.8,108.4,97.6,98.1,13.1,10.3,0.643,1.35,18.4,0.352,0.647,0.495,19.099,18.7,0.527,0.582,1.0,0.204,105.62,106.5,88.75,107.0,0.569
1163,1,2022200320,1612709929,College Park,Skyhawks,CPS,skyhawks,240:00,97.6,98.1,110.8,108.4,-13.1,-10.3,0.452,0.79,13.6,0.353,0.648,0.505,22.531,22.6,0.484,0.539,1.0,0.201,105.62,106.5,88.75,106.0,0.431
1164,0,22200913,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,102.7,106.9,107.4,109.9,-4.7,-3.0,0.538,1.24,15.3,0.281,0.655,0.47,16.166,16.8,0.527,0.545,1.0,0.196,104.24,101.0,84.17,101.0,0.434
1165,1,22200913,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,107.4,109.9,102.7,106.9,4.7,3.0,0.595,2.27,17.2,0.345,0.719,0.53,10.647,10.9,0.464,0.508,1.0,0.196,104.24,101.0,84.17,101.0,0.566
1166,0,2022200317,1612709905,South Bay,Lakers,SBL,lakers,240:00,139.0,135.8,118.0,117.8,21.0,18.0,0.481,2.6,17.6,0.385,0.755,0.564,9.391,9.2,0.591,0.664,1.0,0.206,106.64,108.0,90.0,109.0,0.579
