,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS
1345,NOP,W,22,6,1,3,3,3,118.7,SAS,11,4,3,0,0,0,112.5
1346,MCC,L,4,3,1,0,0,0,104.9,MHU,10,7,4,0,0,0,115.5
1347,ACC,W,14,7,3,0,0,0,108.9,WCB,12,6,4,0,0,0,112.7
1348,GBO,W,6,4,2,0,0,0,107.1,GLI,4,1,1,0,0,0,101.5
1349,MXC,W,11,6,4,0,0,0,111.8,WES,6,5,1,0,0,0,110.5
1350,BKN,W,21,9,5,0,0,0,116.1,GSW,18,4,1,0,0,0,114.5
1351,NYK,L,21,8,5,0,0,0,112.4,TOR,16,2,0,0,0,0,112.0
1352,AUS,L,5,2,1,0,0,0,106.5,WIS,7,3,1,0,0,0,107.0
1353,SBL,W,12,8,3,0,0,0,121.3,CPS,12,8,4,0,0,0,121.1
1354,CLE,W,22,7,4,0,0,0,106.5,MIL,22,7,3,2,2,2,114.7
1355,RGV,W,12,8,3,0,0,0,114.1,IWA,11,7,4,0,0,0,118.8
1356,OKC,W,18,5,2,1,1,1,114.9,POR,18,6,3,0,0,0,118.4
1357,SAC,W,20,6,2,3,3,3,115.6,LAL,14,5,3,0,0,0,119.1
1358,MXC,W,10,6,4,0,0,0,111.1,RAP,7,3,2,0,0,0,110.8
1359,ATL,L,18,5,3,1,1,1,116.2,CHI,15,3,1,0,0,0,115.6
1360,OKL,W,7,4,2,0,0,0,106.7,LAK,7,4,2,0,0,0,114.9
1361,MIN,L,20,6,3,1,1,1,117.2,DAL,17,5,2,0,0,0,113.3
1362,LAC,W,20,5,4,1,1,1,107.1,CHA,8,2,1,0,0,0,114.1
1363,BOS,L,24,5,1,0,0,0,111.7,IND,17,3,1,0,0,0,112.5
1364,SXF,L,11,7,5,0,0,0,111.8,DEL,7,4,2,0,0,0,120.5
1365,PHI,W,21,7,5,0,0,0,116.3,DET,8,3,1,0,0,0,116.3
1366,SLC,L,6,3,2,0,0,0,113.1,GRG,3,2,1,0,0,0,105.8
1367,SCW,L,8,5,2,0,0,0,111.4,CCG,8,3,2,0,0,0,106.5
1368,HOU,L,12,4,2,1,1,1,108.0,ORL,15,6,4,0,0,0,111.8
1369,MCC,W,3,2,1,0,0,0,105.3,GLI,4,2,1,0,0,0,103.9
1370,DET,L,8,3,1,1,1,1,116.2,UTA,18,5,2,0,0,0,116.6
1371,LIN,L,10,8,4,0,0,0,113.6,STO,7,5,2,0,0,0,113.6
1372,WES,L,6,5,2,0,0,0,112.3,MHU,9,6,4,0,0,0,113.9
1373,FWN,W,10,6,2,0,0,0,117.3,SCW,8,6,3,0,0,0,113.8
1374,MIA,L,20,6,4,0,0,0,107.5,CHI,14,3,1,1,1,1,115.7
1375,CLC,L,12,6,4,2,2,2,112.2,WCB,11,6,3,1,1,1,115.0
1376,WIS,W,6,3,1,0,0,0,108.8,BIR,6,4,2,0,0,0,104.6
1377,RAP,L,7,3,3,0,0,0,112.1,TEX,7,4,1,0,0,0,122.4
1378,ACC,W,13,7,3,0,0,0,108.0,MNE,11,5,3,0,0,0,115.1
1379,DEN,W,21,6,4,0,0,0,118.3,MEM,22,8,4,0,0,0,118.4
1380,NYK,W,20,8,5,0,0,0,113.2,GSW,18,4,2,1,1,1,116.4
1381,SXF,W,10,7,5,0,0,0,111.2,GBO,6,4,3,0,0,0,107.1
1382,PHX,L,20,4,3,0,0,0,116.0,WAS,12,0,0,0,0,0,110.9
1383,CCG,W,7,3,1,0,0,0,106.0,SLC,6,4,2,0,0,0,115.5
1384,SAC,L,20,6,3,1,1,1,115.4,CHA,7,1,0,0,0,0,112.1
1385,DEL,W,6,4,1,0,0,0,118.9,AUS,5,2,1,0,0,0,106.8
1386,HOU,L,12,4,2,1,1,1,108.8,SAS,10,3,3,1,1,1,109.5
1387,ACC,W,12,7,3,0,0,0,107.6,IWA,11,8,4,0,0,0,121.2
1388,NOP,L,22,7,2,0,0,0,117.3,MIL,21,7,3,0,0,0,112.8
1389,PHI,W,20,7,4,1,1,1,116.6,TOR,16,2,0,1,1,1,112.7
1390,CPS,L,12,9,5,0,0,0,121.7,CLC,11,6,4,0,0,0,112.2
