,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS
1561,RGV,W,8,8,5,1,1,1,121.9,AUS,4,4,1,0,0,0,106.2
1562,MEM,W,17,5,4,0,0,0,113.8,MIA,15,5,4,1,1,1,108.1
1563,ORL,L,9,1,0,0,0,0,104.7,MIL,16,6,4,0,0,0,113.7
1564,LIN,W,5,5,4,0,0,0,110.7,DEL,5,5,3,0,0,0,117.3
1565,GSW,L,16,7,4,0,0,0,118.2,IND,14,5,1,0,0,0,111.4
1566,WES,W,4,4,3,1,1,1,111.4,CCG,6,6,2,0,0,0,115.8
1567,SLC,L,4,3,2,1,1,1,113.5,STO,4,4,3,1,1,1,109.0
1568,RAP,L,4,4,0,1,1,1,118.0,GBO,4,3,2,0,0,0,111.5
1569,TOR,L,15,5,3,2,2,2,109.0,BOS,21,8,4,0,0,0,122.0
1570,BIR,L,4,4,2,0,0,0,105.3,MXC,7,6,2,1,1,1,110.4
1571,CPS,W,7,6,4,0,0,0,118.7,MNE,8,7,3,0,0,0,119.1
1572,BKN,L,15,7,4,0,0,0,113.9,BOS,20,8,4,0,0,0,124.3
1573,WAS,L,12,4,1,0,0,0,113.3,LAL,10,7,4,0,0,0,121.0
1574,SAS,L,7,0,0,0,0,0,105.8,PHX,16,7,4,0,0,0,120.2
1575,POR,W,13,3,2,0,0,0,111.0,IND,14,6,2,0,0,0,113.9
1576,SXF,W,4,4,2,0,0,0,108.9,WIS,6,5,2,1,1,1,115.6
1577,NOP,W,18,8,4,0,0,0,118.1,DEN,17,6,4,0,0,0,113.7
1578,OKL,L,5,5,2,1,1,1,109.5,ACC,9,9,4,1,1,1,112.5
1579,GLI,L,3,3,0,0,0,0,102.2,SBL,7,7,5,1,1,1,120.6
1580,DET,L,6,3,2,0,0,0,112.4,MEM,16,5,3,1,1,1,113.0
1581,NYK,W,13,4,1,0,0,0,114.4,CLE,16,7,3,1,1,1,108.3
1582,SAC,W,16,7,2,0,0,0,124.2,CHI,12,3,2,0,0,0,112.7
1583,CPS,W,6,6,3,0,0,0,119.6,RAP,4,4,1,0,0,0,117.66666666666667
1584,MIN,L,15,6,2,2,2,2,114.8,OKC,14,4,2,0,0,0,119.1
1585,NYK,L,13,4,2,0,0,0,117.9,DAL,12,4,1,0,0,0,110.4
1586,LAC,L,15,6,2,1,1,1,111.4,SAC,15,7,2,0,0,0,123.9
1587,WES,W,3,3,2,0,0,0,111.7,CCG,6,6,2,0,0,0,116.0
1588,RGV,W,7,7,4,0,0,0,118.9,LAK,5,5,2,0,0,0,116.1
1589,MCC,W,2,2,1,0,0,0,109.9,IWA,7,7,5,1,1,1,116.5
1590,FWN,W,6,6,4,0,0,0,124.44444444444444,WCB,6,6,4,0,0,0,114.625
1591,UTA,L,15,4,2,2,2,2,119.4,POR,12,2,1,0,0,0,110.6
1592,STO,L,4,4,3,1,1,1,108.44444444444444,SCW,5,4,3,1,1,1,107.9
1593,GSW,W,15,7,4,1,1,1,119.4,HOU,9,4,3,0,0,0,110.5
1594,CHA,L,7,4,3,0,0,0,111.5,MIL,15,5,3,0,0,0,112.5
1595,TOR,W,14,4,2,0,0,0,108.2,ORL,9,1,0,0,0,0,104.4
1596,BIR,L,4,4,3,0,0,0,107.4,MXC,6,5,2,0,0,0,109.3
1597,ATL,W,14,4,2,0,0,0,111.8,DEN,17,6,4,0,0,0,114.0
1598,BKN,W,14,6,4,2,2,2,112.8,TOR,14,5,2,0,0,0,109.3
1599,SAS,L,7,1,0,0,0,0,107.0,NOP,17,7,4,2,2,2,115.9
1600,UTA,W,14,3,1,0,0,0,115.3,IND,14,7,2,0,0,0,113.8
1601,STO,L,4,4,3,1,1,1,108.75,SCW,4,4,2,0,0,0,109.0
1602,GSW,W,14,6,3,0,0,0,119.0,CHI,12,4,3,0,0,0,112.7
1603,CHA,W,6,3,2,0,0,0,109.3,WAS,12,5,1,3,3,3,113.8
1604,AUS,L,4,4,1,1,1,1,105.9,MHU,4,4,2,0,0,0,112.33333333333333
1605,MIL,L,15,6,4,0,0,0,113.2,LAL,9,6,3,0,0,0,117.8
1606,BOS,L,20,9,5,2,2,2,124.4,MIA,14,5,3,0,0,0,109.3
1607,CLE,W,15,6,3,1,1,1,110.0,ORL,9,2,0,1,1,1,106.2
1608,MEM,W,15,5,2,0,0,0,113.7,PHI,16,7,3,0,0,0,109.0
1609,GBO,W,3,2,1,0,0,0,109.6,MNE,8,8,3,0,0,0,119.0
1610,MCC,L,2,2,1,0,0,0,110.4,IWA,6,6,4,0,0,0,116.55555555555556
1611,PHX,L,16,7,5,1,1,1,117.8,HOU,8,3,2,0,0,0,109.2
1612,SBL,W,6,6,4,1,1,1,118.33333333333333,SLC,4,4,2,0,0,0,113.5
1613,WES,W,2,2,2,1,1,1,108.44444444444444,CPS,6,6,3,1,1,1,121.77777777777777
1614,DEL,W,4,4,3,1,1,1,116.22222222222223,RAP,4,4,2,0,0,0,117.75
1615,AUS,L,4,4,2,0,0,0,106.77777777777777,RGV,6,6,4,0,0,0,119.55555555555556
1616,DET,W,5,2,2,0,0,0,110.1,DAL,12,4,1,0,0,0,108.4
1617,BOS,W,19,9,4,1,1,1,124.1,MIA,14,6,3,0,0,0,108.9
1618,LAL,W,8,5,3,0,0,0,116.6,POR,12,3,1,1,1,1,110.3
1619,MHU,W,3,3,1,0,0,0,111.375,TEX,6,5,3,1,1,1,122.9
1620,NOP,W,16,7,3,0,0,0,114.8,TOR,14,5,3,0,0,0,108.2
1621,GLI,L,3,3,1,0,0,0,103.0,STO,3,3,3,0,0,0,108.14285714285714
1622,SAC,W,14,7,2,0,0,0,122.9,IND,14,7,3,0,0,0,114.3
1623,ACC,W,8,8,4,0,0,0,113.4,OKL,5,5,2,1,1,1,110.44444444444444
1624,UTA,W,13,2,0,1,1,1,114.0,LAC,15,6,3,1,1,1,109.7
1625,CCG,L,6,6,3,1,1,1,116.22222222222223,MNE,7,7,3,1,1,1,119.33333333333333
1626,PHX,W,15,7,5,0,0,0,117.5,CHI,12,4,3,0,0,0,111.8
1627,MIN,W,14,5,2,0,0,0,115.6,MEM,15,5,3,1,1,1,114.2
1628,CLC,W,7,6,2,1,1,1,110.3,SXF,4,4,2,0,0,0,109.55555555555556
1629,OKC,W,13,4,1,1,1,1,120.4,SAS,7,1,0,0,0,0,108.1
1630,NYK,L,13,5,2,0,0,0,119.7,MIL,14,5,3,1,1,1,112.1
1631,BKN,W,13,6,3,1,1,1,112.5,WAS,12,6,2,0,0,0,114.4
1632,DEN,W,16,6,4,1,1,1,114.2,HOU,8,4,2,0,0,0,112.6
1633,CLE,W,14,5,3,0,0,0,108.8,PHI,16,7,4,2,2,2,110.0
1634,ORL,L,9,3,0,0,0,0,104.8,ATL,13,4,1,1,1,1,109.7
1635,GRG,L,2,2,2,1,1,1,110.66666666666667,WIS,5,5,2,0,0,0,115.6
1636,DAL,W,11,3,1,0,0,0,105.5,GSW,14,7,4,0,0,0,118.3
1637,DEL,W,3,3,2,0,0,0,115.125,MNE,7,7,4,2,2,2,118.875
1638,GRG,W,1,1,1,0,0,0,108.375,WIS,5,5,3,0,0,0,114.4
1639,SBL,W,5,5,3,0,0,0,117.5,SLC,4,4,2,0,0,0,112.77777777777777
1640,WES,W,1,1,1,0,0,0,107.125,GBO,3,3,1,1,1,1,111.8
1641,RGV,W,5,5,3,1,1,1,121.125,BIR,4,4,4,0,0,0,108.0
1642,CLC,W,6,6,2,0,0,0,109.0,SXF,4,4,3,0,0,0,109.375
1643,MHU,L,3,3,1,0,0,0,108.85714285714286,TEX,5,5,2,0,0,0,121.0
1644,POR,L,12,4,1,0,0,0,109.6,LAC,14,6,3,1,1,1,109.3
1645,DET,L,5,2,2,0,0,0,110.3,NYK,12,4,1,3,3,3,114.2
1646,SLC,W,3,3,1,1,1,1,111.75,GLI,3,3,2,1,1,1,106.5
1647,BOS,W,18,9,4,2,2,2,122.9,CHA,6,3,2,0,0,0,108.8
1648,LAL,L,8,5,4,0,0,0,115.1,IND,13,7,3,0,0,0,115.6
1649,ACC,L,8,8,5,0,0,0,115.22222222222223,OKL,4,4,2,0,0,0,110.375
1650,WAS,W,11,6,2,0,0,0,111.0,MIN,14,5,3,0,0,0,113.6
1651,NOP,W,15,6,3,0,0,0,116.5,OKC,13,4,1,0,0,0,123.5
1652,DEN,W,15,6,3,0,0,0,112.8,HOU,8,4,3,0,0,0,113.0
1653,UTA,L,13,3,1,0,0,0,115.8,CHI,11,3,2,0,0,0,112.3
1654,TOR,W,13,5,3,1,1,1,109.5,CLE,14,5,4,0,0,0,112.0
1655,WES,L,1,1,1,0,0,0,110.0,GBO,2,2,0,0,0,0,109.77777777777777
1656,PHI,W,15,7,3,1,1,1,109.6,ATL,13,4,2,1,1,1,111.5
1657,BKN,W,12,6,3,0,0,0,112.8,ORL,9,3,1,0,0,0,107.3
1658,LIN,L,5,5,5,0,0,0,111.77777777777777,CPS,5,5,3,2,2,2,121.5
1659,SAC,L,14,7,3,1,1,1,122.5,PHX,14,6,4,0,0,0,114.1
1660,MCC,L,2,2,1,0,0,0,111.22222222222223,FWN,5,5,3,1,1,1,125.625
1661,BOS,W,17,9,4,1,1,1,120.8,WAS,11,6,2,0,0,0,108.6
1662,BKN,W,11,5,3,1,1,1,111.1,POR,12,5,1,0,0,0,110.9
1663,ATL,L,13,5,2,0,0,0,113.4,MIA,13,5,2,0,0,0,109.0
1664,NYK,L,12,5,2,0,0,0,113.9,MEM,14,5,2,1,1,1,111.8
1665,ORL,L,9,3,1,0,0,0,109.3,PHI,14,6,3,1,1,1,106.7
1666,MCC,L,2,2,1,0,0,0,112.375,FWN,4,4,2,0,0,0,128.85714285714286
1667,CCG,L,6,6,4,1,1,1,116.625,CPS,4,4,2,0,0,0,120.14285714285714
1668,GRG,L,1,1,1,0,0,0,110.85714285714286,IWA,5,5,3,0,0,0,117.625
1669,LAC,W,13,6,3,0,0,0,109.8,IND,13,8,4,0,0,0,115.7
1670,DEL,L,3,3,2,0,0,0,114.0,MNE,6,6,4,1,1,1,117.0
1671,MIN,L,14,6,4,0,0,0,115.1,GSW,13,7,4,0,0,0,116.2
1672,DET,L,5,2,2,0,0,0,112.1,CLE,13,4,4,1,1,1,113.5
1673,BIR,W,3,3,3,1,1,1,108.5,AUS,4,4,3,1,1,1,107.625
1674,MIL,W,13,5,3,0,0,0,110.5,DAL,11,4,1,0,0,0,103.6
1675,LAK,W,4,4,2,1,1,1,114.77777777777777,MXC,6,6,3,1,1,1,111.0
1676,WIS,W,4,4,3,0,0,0,112.33333333333333,SXF,4,4,4,0,0,0,107.0
1677,HOU,W,7,3,2,0,0,0,111.3,OKC,13,4,2,0,0,0,123.3
1678,PHX,W,13,6,4,0,0,0,113.0,UTA,13,4,2,1,1,1,118.5
1679,BIR,L,3,3,3,1,1,1,110.14285714285714,AUS,3,3,2,0,0,0,107.14285714285714
1680,TOR,W,12,4,2,0,0,0,110.0,DAL,11,5,2,1,1,1,104.7
1681,TEX,L,5,5,3,0,0,0,119.77777777777777,RGV,4,4,3,1,1,1,118.0
1682,WES,L,1,1,1,0,0,0,110.33333333333333,LIN,4,4,4,0,0,0,110.875
1683,SAS,L,7,1,0,0,0,0,105.2,LAL,7,4,4,2,2,2,112.4
1684,SCW,L,4,4,2,0,0,0,109.66666666666667,STO,2,2,2,0,0,0,107.83333333333333
1685,WCB,W,5,5,4,0,0,0,114.0,CLC,6,6,2,0,0,0,110.11111111111111
1686,NYK,L,12,5,3,0,0,0,112.8,POR,11,4,1,0,0,0,105.9
1687,PHX,W,12,5,3,0,0,0,112.8,DET,5,3,2,0,0,0,113.1
1688,OKC,W,12,3,1,0,0,0,120.4,CHI,11,4,2,0,0,0,111.0
1689,SAS,L,7,1,0,0,0,0,105.9,LAL,6,4,3,1,1,1,113.9
1690,MCC,W,1,1,1,1,1,1,110.85714285714286,GRG,1,1,1,0,0,0,111.5
1691,LAK,W,3,3,1,0,0,0,116.75,MXC,6,6,3,1,1,1,113.44444444444444
1692,OKL,W,3,3,1,0,0,0,110.14285714285714,SLC,3,3,1,0,0,0,111.85714285714286
1693,GSW,W,12,6,3,0,0,0,113.8,UTA,13,5,2,0,0,0,117.7
1694,TEX,L,5,5,3,0,0,0,121.5,RGV,3,3,3,0,0,0,115.5
1695,LAC,L,13,6,3,0,0,0,109.6,DEN,14,6,2,1,1,1,114.0
1696,CHA,W,5,2,2,0,0,0,107.2,MIN,14,6,5,0,0,0,114.5
1697,MEM,W,13,5,1,0,0,0,111.6,NOP,15,6,4,1,1,1,117.5
1698,IND,W,12,7,4,1,1,1,113.8,BKN,11,6,3,1,1,1,109.2
1699,ORL,L,9,4,1,0,0,0,112.4,PHI,13,5,3,0,0,0,107.1
1700,DEL,W,2,2,2,1,1,1,114.5,GBO,2,2,0,1,1,1,110.375
1701,HOU,W,6,2,1,0,0,0,107.8,ATL,13,6,3,1,1,1,113.6
1702,MIL,W,12,5,2,1,1,1,110.3,CLE,13,5,4,0,0,0,114.7
1703,SCW,W,3,3,2,0,0,0,109.875,GLI,3,3,2,1,1,1,107.22222222222223
1704,MIA,W,12,4,1,1,1,1,107.9,WAS,11,6,3,1,1,1,106.5
1705,FWN,L,4,4,3,0,0,0,129.66666666666666,IWA,4,4,2,0,0,0,116.28571428571429
1706,BOS,W,16,9,4,0,0,0,121.9,SAC,14,8,4,0,0,0,124.7
1707,ATL,W,12,6,2,0,0,0,113.3,SAC,14,8,5,0,0,0,124.8
1708,UTA,L,13,6,2,0,0,0,119.1,DET,4,2,1,0,0,0,109.4
1709,SAS,L,7,1,0,0,0,0,105.5,NOP,14,6,4,1,1,1,116.0
1710,OKL,L,3,3,2,0,0,0,109.33333333333333,SBL,4,4,2,1,1,1,115.28571428571429
1711,RAP,L,4,4,3,0,0,0,118.42857142857143,LIN,3,3,3,1,1,1,110.14285714285714
1712,CLE,W,12,5,3,0,0,0,114.5,POR,11,5,1,0,0,0,107.1
1713,GSW,W,11,5,3,0,0,0,114.3,LAC,13,7,4,0,0,0,110.2
1714,TOR,L,12,5,2,0,0,0,114.5,BKN,10,6,2,1,1,1,110.8
1715,CHA,W,4,1,1,0,0,0,106.4,PHI,13,6,4,1,1,1,108.8
1716,MIA,W,11,4,1,0,0,0,107.6,WAS,11,7,4,1,1,1,108.1
1717,BOS,W,15,9,4,0,0,0,121.7,DAL,11,6,3,0,0,0,103.8
1718,IND,L,12,8,5,0,0,0,116.2,MIN,13,5,4,0,0,0,113.7
1719,MIL,L,12,6,2,0,0,0,110.6,CHI,10,4,1,1,1,1,110.0
1720,SXF,W,3,3,3,0,0,0,107.83333333333333,GRG,1,1,1,0,0,0,115.2
1721,RGV,L,3,3,3,1,1,1,116.2,MXC,5,5,3,1,1,1,113.125
1722,OKC,L,12,3,2,1,1,1,118.8,DEN,13,6,2,2,2,2,113.1
1723,TEX,W,4,4,3,1,1,1,121.42857142857143,LAK,3,3,2,0,0,0,116.28571428571429
1724,MEM,L,13,6,2,1,1,1,111.8,SAC,13,8,5,0,0,0,125.0
1725,WES,L,1,1,1,1,1,1,110.8,CPS,3,3,2,0,0,0,121.83333333333333
1726,ACC,W,7,7,5,1,1,1,117.0,GLI,3,3,3,0,0,0,109.625
1727,PHI,W,12,6,3,1,1,1,108.7,BKN,10,6,3,0,0,0,110.1
1728,DEN,L,13,6,2,0,0,0,113.3,DET,3,1,0,0,0,0,107.5
1729,SLC,W,2,2,1,0,0,0,109.16666666666667,SCW,3,3,2,1,1,1,111.71428571428571
1730,PHX,W,11,5,2,1,1,1,112.9,LAL,6,5,3,0,0,0,115.5
1731,FWN,W,3,3,3,1,1,1,127.0,CLC,6,6,3,0,0,0,111.25
1732,MIN,W,12,4,3,1,1,1,113.0,MIA,11,5,2,0,0,0,109.1
1733,CHI,W,9,3,1,1,1,1,108.8,BOS,15,9,5,1,1,1,122.3
1734,MIL,W,11,6,2,0,0,0,109.7,POR,11,5,2,0,0,0,106.6
1735,NOP,W,13,5,3,1,1,1,114.9,GSW,11,5,3,0,0,0,116.9
1736,OKL,L,3,3,3,0,0,0,112.8,SBL,3,3,2,0,0,0,111.0
1737,MHU,L,3,3,2,0,0,0,112.83333333333333,BIR,2,2,2,0,0,0,112.83333333333333
1738,TEX,W,3,3,2,0,0,0,118.16666666666667,LAK,3,3,3,0,0,0,113.5
1739,CLE,W,11,5,2,1,1,1,114.5,ATL,12,6,3,0,0,0,114.0
1740,CCG,W,5,5,4,0,0,0,117.57142857142857,GBO,2,2,1,0,0,0,111.85714285714286
1741,OKC,L,12,4,3,1,1,1,118.5,NYK,11,5,2,0,0,0,110.5
1742,RAP,L,4,4,3,0,0,0,116.83333333333333,LIN,2,2,2,0,0,0,106.5
1743,SLC,L,2,2,2,0,0,0,110.2,SCW,2,2,1,0,0,0,110.33333333333333
1744,IND,W,11,8,4,1,1,1,116.6,ORL,9,4,2,0,0,0,113.0
1745,ACC,W,6,6,5,0,0,0,117.28571428571429,GLI,3,3,3,0,0,0,111.71428571428571
1746,LAC,W,12,7,3,0,0,0,109.0,UTA,13,6,2,1,1,1,117.7
1747,MXC,L,5,5,4,1,1,1,112.85714285714286,RGV,2,2,2,0,0,0,115.25
1748,AUS,L,3,3,3,0,0,0,106.66666666666667,MXC,4,4,3,0,0,0,112.16666666666667
1749,FWN,W,2,2,2,0,0,0,128.25,CLC,6,6,4,0,0,0,113.85714285714286
1750,CLE,W,10,5,1,0,0,0,115.3,MIA,11,5,3,0,0,0,111.7
1751,CPS,L,3,3,3,0,0,0,126.8,WES,0,0,0,0,0,0,112.25
1752,PHX,W,10,5,2,0,0,0,113.7,NYK,11,5,3,0,0,0,110.9
1753,LAL,W,5,4,2,0,0,0,113.4,SAS,7,1,1,0,0,0,106.3
1754,SAC,W,12,8,5,0,0,0,123.2,DET,3,1,0,0,0,0,105.4
1755,BKN,W,9,6,3,0,0,0,109.0,MEM,13,6,3,1,1,1,110.8
1756,HOU,L,6,2,1,0,0,0,106.7,GSW,10,4,3,0,0,0,115.6
1757,WAS,W,10,6,4,2,2,2,108.6,CHA,4,1,1,0,0,0,105.0
1758,DAL,L,11,7,3,1,1,1,105.5,DEN,12,6,2,0,0,0,115.2
1759,MNE,W,5,5,4,0,0,0,111.66666666666667,DEL,2,2,2,0,0,0,117.4
1760,IWA,W,3,3,2,1,1,1,115.83333333333333,WIS,4,4,3,0,0,0,113.625
1761,GBO,L,2,2,1,0,0,0,115.33333333333333,LIN,1,1,1,1,1,1,109.2
1762,RGV,L,2,2,2,1,1,1,115.0,MHU,2,2,2,0,0,0,110.0
1763,CLC,W,5,5,4,1,1,1,112.83333333333333,MCC,1,1,1,0,0,0,112.66666666666667
1764,PHI,L,12,7,4,0,0,0,109.0,MIN,11,4,2,0,0,0,112.9
1765,LAC,W,11,7,3,1,1,1,106.6,SAS,7,2,1,0,0,0,107.3
1766,SCW,L,2,2,2,0,0,0,114.2,SBL,2,2,2,0,0,0,111.0
1767,IND,W,10,7,4,0,0,0,116.1,ORL,9,4,3,0,0,0,112.2
1768,SXF,W,2,2,2,0,0,0,109.6,WCB,5,5,4,1,1,1,117.33333333333333
1769,POR,L,11,6,3,0,0,0,107.8,UTA,12,6,2,1,1,1,118.0
1770,ATL,W,11,5,2,0,0,0,113.1,TOR,12,6,3,1,1,1,116.2
1771,IWA,W,2,2,2,0,0,0,115.4,WIS,4,4,3,0,0,0,115.28571428571429
1772,CLE,W,9,5,0,0,0,0,115.3,CHA,4,1,1,0,0,0,103.6
1773,DEL,W,1,1,1,0,0,0,111.5,RAP,4,4,4,0,0,0,114.4
1774,GSW,W,9,3,3,0,0,0,115.8,NYK,11,5,3,0,0,0,111.6
1775,LAL,W,4,3,1,0,0,0,110.5,DET,3,2,0,0,0,0,106.1
1776,CHI,L,9,3,1,0,0,0,110.5,ORL,8,4,2,0,0,0,112.7
1777,WAS,W,9,5,4,0,0,0,107.3,MIA,11,5,3,0,0,0,112.1
1778,HOU,L,6,2,2,1,1,1,108.7,IND,9,6,4,0,0,0,116.8
1779,GBO,L,2,2,2,0,0,0,119.2,LIN,0,0,0,0,0,0,106.75
1780,UTA,W,11,6,2,0,0,0,117.0,PHX,10,6,2,0,0,0,112.8
1781,MEM,W,12,5,2,0,0,0,111.0,OKC,12,5,3,0,0,0,119.2
1782,SXF,L,2,2,2,0,0,0,113.75,WCB,4,4,4,0,0,0,117.8
1783,MNE,L,5,5,5,1,1,1,115.4,CCG,4,4,4,0,0,0,119.83333333333333
1784,PHI,W,11,6,3,0,0,0,108.9,MIL,11,7,2,1,1,1,111.8
1785,TEX,L,3,3,3,1,1,1,119.0,BIR,1,1,1,0,0,0,112.0
1786,GLI,W,2,2,2,0,0,0,111.66666666666667,SLC,2,2,2,1,1,1,111.0
1787,NOP,L,13,6,4,0,0,0,115.2,BOS,14,9,5,0,0,0,121.8
1788,DAL,W,10,6,2,0,0,0,103.9,DEN,12,7,3,0,0,0,116.3
1789,MXC,W,3,3,3,0,0,0,112.6,LAK,3,3,3,0,0,0,116.2
1790,MCC,L,1,1,1,0,0,0,114.2,WIS,3,3,3,2,2,2,115.0
1791,LAC,W,10,6,3,0,0,0,106.1,DET,3,2,1,0,0,0,108.2
1792,POR,L,11,6,4,0,0,0,106.9,BKN,8,5,2,0,0,0,109.7
1793,RGV,W,1,1,1,0,0,0,98.0,MHU,2,2,2,0,0,0,106.5
1794,SAC,W,11,7,4,0,0,0,121.2,SAS,7,3,1,0,0,0,109.0
1795,CLC,W,4,4,4,0,0,0,111.6,IWA,2,2,2,0,0,0,117.25
1796,AUS,L,3,3,3,0,0,0,111.0,BIR,0,0,0,0,0,0,114.25
1797,MNE,W,4,4,4,0,0,0,118.0,CCG,4,4,4,0,0,0,123.2
1798,STO,W,1,1,1,0,0,0,109.4,SBL,2,2,2,1,1,1,114.75
1799,ACC,W,5,5,5,0,0,0,117.33333333333333,SLC,2,2,2,0,0,0,112.33333333333333
1800,OKL,L,3,3,3,2,2,2,117.25,GLI,1,1,1,0,0,0,112.0
1801,NOP,W,12,5,3,2,2,2,113.9,CHI,9,4,1,0,0,0,111.9
1802,CHA,L,4,2,1,0,0,0,104.3,IND,8,6,3,1,1,1,116.7
1803,ORL,L,8,4,2,0,0,0,111.1,MIN,10,4,2,0,0,0,113.7
1804,DEN,L,12,7,4,0,0,0,117.0,NYK,10,4,3,0,0,0,111.8
1805,WAS,L,9,5,4,0,0,0,107.0,OKC,11,5,2,0,0,0,118.9
1806,ATL,L,11,6,3,0,0,0,116.6,BOS,13,8,5,0,0,0,121.5
1807,PHX,W,9,6,2,1,1,1,113.2,GSW,9,4,3,0,0,0,116.2
1808,MXC,L,3,3,3,1,1,1,112.25,TEX,2,2,2,0,0,0,117.0
1809,DAL,L,10,7,3,0,0,0,107.6,HOU,5,1,1,0,0,0,108.7
1810,MIL,W,10,7,2,0,0,0,112.4,CLE,9,6,1,0,0,0,115.8
1811,TOR,W,11,5,2,1,1,1,114.0,MIA,11,6,3,1,1,1,113.6
1812,UTA,L,11,6,3,0,0,0,116.0,NYK,9,4,2,0,0,0,113.4
1813,NOP,W,11,5,2,0,0,0,113.9,MEM,12,6,3,0,0,0,113.3
1814,CCG,W,3,3,3,0,0,0,117.75,CPS,3,3,3,0,0,0,127.75
1815,LIN,L,0,0,0,0,0,0,105.33333333333333,MNE,3,3,3,1,1,1,118.33333333333333
1816,GBO,L,2,2,2,0,0,0,120.0,RAP,3,3,3,0,0,0,112.25
1817,POR,W,10,6,3,0,0,0,108.7,SAS,7,3,1,0,0,0,110.2
1818,ACC,W,4,4,4,1,1,1,117.6,STO,1,1,1,0,0,0,108.75
1819,AUS,W,2,2,2,0,0,0,113.25,MHU,2,2,2,0,0,0,109.0
1820,SAC,W,10,6,4,0,0,0,118.4,BKN,8,5,3,0,0,0,110.1
1821,GRG,W,0,0,0,0,0,0,113.5,CLC,4,4,4,1,1,1,110.5
1822,WIS,W,2,2,2,1,1,1,110.6,MCC,1,1,1,0,0,0,114.75
1823,DAL,W,9,6,3,0,0,0,108.4,LAC,10,6,3,0,0,0,107.0
1824,BIR,L,0,0,0,0,0,0,109.66666666666667,LAK,2,2,2,1,1,1,112.5
1825,ACC,W,3,3,3,0,0,0,121.5,STO,1,1,1,0,0,0,113.0
1826,OKL,W,2,2,2,1,1,1,121.66666666666667,GLI,1,1,1,0,0,0,118.0
1827,ORL,L,8,4,3,1,1,1,110.8,CHA,3,1,0,0,0,0,102.4
1828,DET,L,3,2,1,0,0,0,108.4,TOR,10,5,2,0,0,0,114.4
1829,MIL,L,10,8,3,1,1,1,112.8,ATL,10,6,3,3,3,3,116.3
1830,GSW,W,8,3,2,0,0,0,113.5,SAS,7,4,1,0,0,0,112.2
1831,MIA,W,10,5,3,0,0,0,111.3,PHX,9,7,2,0,0,0,113.2
1832,BOS,W,12,7,5,0,0,0,119.1,OKC,11,6,2,0,0,0,117.5
1833,MXC,W,2,2,2,0,0,0,109.66666666666667,TEX,2,2,2,0,0,0,123.66666666666667
1834,HOU,L,5,2,1,0,0,0,109.5,LAC,9,5,3,2,2,2,104.2
1835,CLE,L,9,7,2,0,0,0,115.1,MIN,9,3,1,0,0,0,111.4
1836,LAL,W,3,2,0,0,0,0,109.3,BKN,8,5,4,0,0,0,109.7
1837,WCB,W,3,3,3,1,1,1,117.0,IWA,2,2,2,0,0,0,121.33333333333333
1838,NYK,L,9,5,3,0,0,0,111.4,OKC,10,5,1,0,0,0,113.6
1839,PHI,W,10,6,2,0,0,0,110.4,UTA,11,7,4,0,0,0,117.1
1840,SAC,W,9,5,3,0,0,0,117.1,GSW,8,4,2,2,2,2,115.0
1841,GRG,L,0,0,0,0,0,0,116.0,CLC,3,3,3,0,0,0,107.0
1842,CHI,L,9,5,2,1,1,1,113.6,DEN,11,7,4,0,0,0,116.6
1843,WAS,W,8,5,3,0,0,0,108.8,MEM,12,7,4,1,1,1,117.5
1844,LIN,L,0,0,0,0,0,0,106.0,MNE,2,2,2,0,0,0,120.0
1845,LAK,L,2,2,2,1,1,1,117.33333333333333,AUS,1,1,1,0,0,0,115.66666666666667
1846,GLI,W,0,0,0,0,0,0,115.66666666666667,SCW,2,2,2,0,0,0,114.0
1847,IND,W,7,5,3,0,0,0,118.3,TOR,10,6,2,0,0,0,113.8
1848,LAC,L,9,5,4,0,0,0,104.2,BKN,7,4,3,0,0,0,111.1
1849,DAL,W,8,6,3,0,0,0,110.4,POR,10,7,4,0,0,0,108.1
1850,MIA,W,9,5,3,1,1,1,109.3,CHA,3,1,0,0,0,0,104.0
1851,PHI,W,9,5,2,0,0,0,108.8,ATL,10,6,4,1,1,1,116.3
1852,FWN,L,2,2,2,0,0,0,133.0,SXF,1,1,1,1,1,1,110.33333333333333
1853,SBL,L,2,2,2,0,0,0,118.0,ACC,2,2,2,1,1,1,124.66666666666667
1854,WCB,W,2,2,2,0,0,0,114.0,IWA,2,2,2,0,0,0,121.5
1855,WIS,W,1,1,1,0,0,0,104.5,MCC,1,1,1,0,0,0,108.66666666666667
1856,NOP,W,10,4,2,0,0,0,114.1,HOU,5,2,1,0,0,0,109.4
1857,GBO,L,2,2,2,1,1,1,116.66666666666667,CPS,2,2,2,0,0,0,126.66666666666667
1858,DET,L,3,2,1,0,0,0,107.5,BOS,11,7,5,1,1,1,120.0
1859,WAS,W,7,4,3,0,0,0,107.4,UTA,11,7,4,0,0,0,116.7
1860,DEL,L,1,1,1,0,0,0,112.0,CCG,2,2,2,1,1,1,117.33333333333333
