,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,H_AVG_FG_PCT,H_AVG_FGA,H_AVG_FG3M,H_AVG_FTM,H_AVG_DREB,H_AVG_OREB,H_AVG_REB,H_AVG_STL,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS,A_AVG_FG_PCT,A_AVG_FGA,A_AVG_FG3M,A_AVG_FTM,A_AVG_DREB,A_AVG_OREB,A_AVG_REB,A_AVG_STL
0,BOS,L,67,5,2,3,3,2,105.25,0.44329999999999997,81.7,14.1,18.75,35.25,8.55,43.8,5.7,GSW,73,7,3,4,4,3,111.75,0.4840000000000001,86.05,13.65,15.2,34.5,9.55,44.05,7.6
1,GSW,W,72,7,3,3,3,2,112.7,0.4869,85.75,14.0,15.6,34.3,9.85,44.15,7.4,BOS,67,6,3,3,3,3,106.0,0.44765,82.15,14.15,18.35,34.35,8.8,43.15,6.25
2,BOS,L,67,6,3,3,3,3,106.85,0.45365,81.65,13.95,18.9,34.25,8.6,42.85,6.2,GSW,71,6,2,2,2,2,113.75,0.4951500000000001,85.25,14.2,15.55,34.05,9.4,43.45,7.15
3,BOS,W,66,6,3,2,2,2,106.8,0.45309999999999995,81.65,13.9,19.0,34.1,8.55,42.65,6.45,GSW,71,7,3,2,2,2,113.75,0.49239999999999995,85.4,13.85,16.2,34.7,9.75,44.45,7.2
4,GSW,W,70,7,3,1,1,1,114.8,0.49605,85.95,13.9,16.0,34.7,9.9,44.6,6.95,BOS,66,7,4,2,2,2,109.35,0.46159999999999995,82.6,14.05,19.0,34.35,8.95,43.3,6.45
5,GSW,L,70,7,4,1,1,1,114.85,0.49985,85.5,13.75,16.0,35.35,9.65,45.0,6.95,BOS,65,6,3,1,1,1,109.4,0.46099999999999997,82.7,14.05,19.05,34.55,9.0,43.55,6.5
6,MIA,L,69,5,2,5,5,2,107.4,0.45884999999999987,84.9,12.15,17.75,31.2,9.6,40.8,8.5,BOS,64,6,3,5,5,3,110.25,0.46485000000000004,82.85,14.35,18.8,34.2,8.9,43.1,6.85
7,BOS,L,64,6,3,5,5,3,112.3,0.4734,83.8,14.95,17.85,34.4,8.95,43.35,6.65,MIA,68,5,2,4,4,2,107.55,0.4617,84.95,12.3,17.25,31.4,9.45,40.85,8.45
8,GSW,W,69,7,4,4,4,3,114.4,0.4981,85.3,14.05,15.75,35.25,9.25,44.5,6.9,DAL,65,5,2,4,4,2,109.65,0.46254999999999996,80.85,16.1,18.65,31.0,6.9,37.9,7.25
9,MIA,L,68,6,3,4,4,3,109.9,0.4726000000000001,84.35,12.8,17.7,31.7,8.75,40.45,8.3,BOS,63,6,3,4,4,2,114.05,0.47725,84.4,15.05,18.3,33.85,9.2,43.05,6.75
10,DAL,W,64,4,2,3,3,2,109.6,0.46320000000000006,80.55,15.9,19.0,30.75,6.8,37.55,7.4,GSW,69,8,4,4,4,3,114.1,0.4948,85.25,14.2,15.9,35.35,9.45,44.8,7.0
11,BOS,W,62,5,3,3,3,2,113.85,0.47800000000000004,84.75,15.2,17.55,33.35,8.9,42.25,7.0,MIA,68,7,4,4,4,3,111.1,0.48,83.8,12.75,18.15,32.15,8.45,40.6,8.55
12,DAL,L,64,5,2,3,3,2,109.75,0.465,80.7,15.8,18.85,31.0,6.7,37.7,7.35,GSW,68,7,4,3,3,3,113.4,0.49169999999999997,85.25,14.1,15.8,35.35,9.1,44.45,7.05
13,BOS,L,62,6,3,3,3,3,114.3,0.47424999999999995,86.0,15.2,17.5,33.65,9.25,42.9,7.15,MIA,67,7,3,3,3,2,111.8,0.48385000000000006,83.7,13.15,17.85,32.75,8.55,41.3,7.95
14,GSW,W,67,7,4,2,2,2,112.85,0.485,85.6,13.8,16.35,35.25,9.35,44.6,7.25,DAL,64,6,3,3,3,3,109.9,0.46745000000000003,81.2,15.55,18.35,31.15,6.95,38.1,7.3
15,MIA,L,67,7,3,3,3,3,111.45,0.48375,83.15,13.15,18.0,32.9,8.25,41.15,8.1,BOS,61,6,3,2,2,2,114.65,0.47680000000000006,86.15,15.05,17.4,33.75,9.35,43.1,7.1
16,GSW,W,66,7,3,1,1,1,112.75,0.48084999999999994,86.0,14.0,16.35,34.7,9.7,44.4,7.05,DAL,64,6,4,3,3,3,111.95,0.4753,81.25,16.0,18.55,31.6,7.05,38.65,7.2
17,MIA,W,66,7,3,2,2,2,110.7,0.48435000000000006,82.65,13.25,17.55,32.75,8.2,40.95,7.9,BOS,61,7,3,2,2,2,115.55,0.48375,86.4,15.45,16.5,33.8,9.35,43.15,7.1
18,PHX,L,74,6,2,6,6,2,109.5,0.4891,87.4,10.2,14.4,32.65,9.55,42.2,7.55,DAL,63,6,3,3,3,3,111.5,0.47284999999999994,81.05,15.9,18.8,31.5,7.25,38.75,6.9
19,BOS,W,60,7,3,5,5,3,116.7,0.48835000000000006,86.3,15.1,17.3,33.6,9.25,42.85,7.25,MIL,59,6,2,5,5,2,111.15,0.45955,89.9,11.4,17.15,37.9,10.15,48.05,7.1
20,GSW,W,65,7,3,4,4,3,113.15,0.4871,84.65,13.75,17.1,34.35,8.8,43.15,7.15,MEM,65,6,2,5,5,2,117.3,0.4562500000000001,93.1,13.4,19.1,33.45,13.2,46.65,9.2
21,MIL,L,59,7,3,5,5,3,112.1,0.46505,89.55,11.85,17.05,37.65,10.0,47.65,7.1,BOS,59,7,2,4,4,2,117.5,0.4951500000000001,86.05,15.2,17.1,33.55,9.1,42.65,7.2
22,DAL,W,62,6,2,2,2,2,110.6,0.4695499999999999,81.7,15.6,18.2,31.65,7.4,39.05,6.3,PHX,74,6,3,6,6,3,112.2,0.4995,87.8,10.55,14.65,32.25,9.15,41.4,7.75
23,PHI,L,59,5,2,4,4,2,111.5,0.48435000000000006,80.3,13.05,20.65,32.35,8.2,40.55,7.25,MIA,65,7,3,5,5,3,110.95,0.48195,82.55,13.6,17.95,32.25,7.95,40.2,7.95
24,MEM,W,64,5,2,4,4,2,117.2,0.45575,93.2,13.45,18.95,33.1,13.1,46.2,9.0,GSW,65,8,4,4,4,3,112.9,0.48460000000000003,84.9,13.6,17.2,34.5,9.2,43.7,7.3
25,BOS,L,59,7,3,4,4,2,118.45,0.4976000000000001,86.05,15.8,17.05,33.85,9.15,43.0,7.45,MIL,58,6,3,4,4,3,112.9,0.47379999999999994,89.05,11.8,16.9,38.45,9.4,47.85,7.05
26,MIA,W,64,6,3,4,4,2,110.25,0.4789,82.35,13.45,18.1,31.85,7.75,39.6,7.85,PHI,59,6,3,4,4,3,113.35,0.48945000000000005,80.65,13.35,21.0,33.05,8.3,41.35,7.45
27,PHX,W,73,6,3,5,5,3,112.95,0.5009499999999999,87.75,10.55,15.2,31.95,9.1,41.05,7.55,DAL,62,6,3,2,2,2,112.1,0.47494999999999993,82.45,15.6,18.2,31.75,7.5,39.25,6.4
