,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,H_AVG_FG_PCT,H_AVG_FGA,H_AVG_FG3M,H_AVG_FTM,H_AVG_DREB,H_AVG_OREB,H_AVG_REB,H_AVG_STL,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS,A_AVG_FG_PCT,A_AVG_FGA,A_AVG_FG3M,A_AVG_FTM,A_AVG_DREB,A_AVG_OREB,A_AVG_REB,A_AVG_STL
1372,MHU,W,7,7,5,1,1,1,118.28571428571429,0.4827142857142857,93.57142857142857,13.0,9.857142857142858,35.285714285714285,10.857142857142858,46.142857142857146,10.0,OKL,3,3,2,0,0,0,117.0,0.47433333333333333,89.66666666666667,13.166666666666666,11.0,38.166666666666664,13.166666666666666,51.333333333333336,7.5
1373,CPS,L,4,4,3,1,1,1,110.75,0.438,94.125,13.0,9.25,33.0,12.0,45.0,10.125,CTN,6,6,3,0,0,0,110.77777777777777,0.46366666666666667,88.22222222222223,11.11111111111111,11.0,30.11111111111111,10.444444444444445,40.55555555555556,11.333333333333334
1374,SXF,W,5,4,1,1,1,1,109.63636363636364,0.47318181818181826,84.45454545454545,11.909090909090908,11.272727272727273,33.90909090909091,10.454545454545455,44.36363636363637,7.454545454545454,NAS,3,3,2,0,0,0,109.875,0.44837499999999997,87.25,12.625,11.5,34.375,10.375,44.75,8.375
1375,HOU,W,16,7,2,0,0,0,119.25,0.44670000000000004,89.9,15.8,22.95,35.8,10.95,46.75,8.5,ATL,5,1,0,0,0,0,106.85,0.44905,88.05,10.05,17.8,32.65,10.25,42.9,8.55
1376,STO,W,6,6,4,0,0,0,114.66666666666667,0.45577777777777784,92.11111111111111,13.222222222222221,10.777777777777779,34.333333333333336,12.88888888888889,47.22222222222222,8.777777777777779,IWA,4,4,3,0,0,0,115.88888888888889,0.4465555555555556,93.77777777777777,14.88888888888889,10.222222222222221,36.44444444444444,12.0,48.44444444444444,7.777777777777778
1377,SAC,W,10,5,2,0,0,0,106.65,0.45170000000000005,87.0,12.65,15.6,32.45,10.05,42.5,7.95,DEN,17,9,5,1,1,1,107.5,0.45314999999999994,89.8,10.0,16.2,36.45,11.1,47.55,8.45
1378,GRD,W,7,7,4,0,0,0,108.9,0.48340000000000005,89.5,8.9,9.0,32.8,14.2,47.0,8.7,TEX,6,6,4,0,0,0,114.11111111111111,0.45566666666666666,93.55555555555556,12.0,10.11111111111111,34.333333333333336,12.444444444444445,46.77777777777778,11.555555555555555
1379,PHI,W,17,7,4,0,0,0,107.55,0.4648,86.7,10.25,16.6,36.8,10.3,47.1,8.5,IND,15,8,5,0,0,0,109.15,0.46475,91.55,9.65,14.7,36.05,10.2,46.25,7.05
1380,MIL,W,21,10,5,0,0,0,119.3,0.47815,90.9,13.55,19.05,41.4,10.2,51.6,7.55,CHA,9,4,2,0,0,0,105.95,0.45089999999999997,86.05,12.75,15.6,30.6,10.1,40.7,6.9
1381,MIA,W,16,7,3,0,0,0,112.25,0.4833,83.3,12.8,18.95,35.5,8.9,44.4,9.25,GSW,6,2,2,0,0,0,108.25,0.43305,90.05,10.1,20.25,33.95,10.7,44.65,8.4
1382,NYK,L,5,3,1,0,0,0,102.2,0.42715,87.15,11.05,16.65,33.1,12.25,45.35,7.95,PHI,16,7,4,1,1,1,107.8,0.46610000000000007,87.7,10.2,15.8,37.15,10.7,47.85,8.7
1383,CPS,W,3,3,2,0,0,0,108.28571428571429,0.42271428571428565,95.0,12.142857142857142,9.571428571428571,33.857142857142854,12.428571428571429,46.285714285714285,10.0,CTN,6,6,4,0,0,0,112.375,0.46499999999999997,89.875,11.125,10.875,30.875,10.75,41.625,11.75
1384,SAS,W,8,1,1,0,0,0,111.35,0.46820000000000006,89.9,9.05,18.3,35.85,10.9,46.75,6.05,LAC,16,8,5,1,1,1,113.2,0.45705,90.0,11.2,20.2,36.75,11.7,48.45,8.05
1385,OKC,W,8,3,1,1,1,1,106.25,0.4551,84.55,10.35,19.0,34.8,8.0,42.8,8.0,NOP,11,5,2,0,0,0,116.1,0.45940000000000003,92.35,15.05,16.55,33.85,11.25,45.1,8.15
1386,IND,W,14,8,4,0,0,0,110.4,0.4696000000000001,91.65,10.1,14.5,36.45,10.25,46.7,6.8,ATL,5,1,0,0,0,0,106.65,0.44575,88.45,10.1,17.85,32.85,10.55,43.4,8.5
1387,STO,W,5,5,3,0,0,0,114.875,0.45525,92.75,13.375,10.375,34.0,12.75,46.75,8.75,ACC,4,4,2,0,0,0,109.57142857142857,0.4475714285714286,90.85714285714286,7.571428571428571,12.714285714285714,33.42857142857143,14.285714285714286,47.714285714285715,8.857142857142858
1388,FWN,L,1,1,1,0,0,0,103.0,0.45025000000000004,83.125,9.875,12.125,32.625,9.125,41.75,6.25,TEX,5,5,4,0,0,0,114.875,0.45899999999999996,94.75,11.625,9.875,34.25,13.25,47.5,11.0
1389,SXF,W,4,4,1,0,0,0,109.2,0.4673,85.0,12.0,11.4,33.5,10.7,44.2,7.5,NAS,3,3,2,0,0,0,111.28571428571429,0.4557142857142858,88.57142857142857,12.428571428571429,11.142857142857142,35.714285714285715,10.857142857142858,46.57142857142857,8.428571428571429
